Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,2.000000,2.000000,1600000.000000,1600000.000000,3.854396,7.618148,0.000451,11.472995,11.527740,0.000519,210.024799,139.457918,138.795636
tri3_nodal_rgb,tri3,nodal_rgb,nodal,2.000000,2.000000,1600000.000000,1600000.000000,11.575150,12.774977,0.000331,24.350458,24.414781,0.000173,125.244844,65.707183,65.534071
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,2.000000,2.000000,1600000.000000,1600000.000000,3.884202,18.655910,0.000371,22.540483,22.597663,0.000515,85.763707,70.983395,70.803782
tri3_tex8_grey_cubic_catmull_rom_direct,tri3,tex8_grey,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,3.874935,33.915683,0.000671,37.791289,37.847597,0.000516,47.175815,42.337799,42.274811
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,3.875616,35.931440,0.000351,39.807407,39.868334,0.000516,44.529248,40.193525,40.132101
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,2.000000,2.000000,1600000.000000,1600000.000000,3.982521,35.355348,0.000391,39.338260,39.404768,0.000502,45.254823,40.672872,40.604223
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,2.000000,2.000000,1600000.000000,1600000.000000,3.861430,45.238222,0.000541,49.100193,49.159505,0.000518,35.368322,32.586430,32.547114
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,3.846532,34.735152,0.000280,38.581964,38.641447,0.000520,46.062847,41.470154,41.406317
tri3_tex8_grey_quintic_bspline_direct,tri3,tex8_grey,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,3.850138,61.176252,0.000461,65.026851,65.090723,0.000519,26.153940,24.605220,24.581076
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,3.847082,44.950742,0.000391,48.798215,48.857810,0.000520,35.594518,32.788085,32.748091
