Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.028124,0.047691,0.000081,0.067046,0.069634,0.000004,1.299598,0.814232,0.837761
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.035999,0.085193,0.000050,0.110941,0.113408,0.000001,0.849804,0.301964,0.307180
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,0.000000,0.000000,0.000000,0.000000,0.032693,0.195585,0.000081,0.241681,0.239880,0.000004,0.881734,0.749059,0.739787
tri3_tex8_grey_cubic_catmull_rom_direct,tri3,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.024096,0.202307,0.000041,0.210794,0.205303,0.000003,0.278584,0.233633,0.226896
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.020789,0.183682,0.000069,0.200174,0.195965,0.000003,0.226288,0.200952,0.196130
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.025398,0.282882,0.000060,0.285266,0.278624,0.000003,0.367645,0.304916,0.296970
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,0.000000,0.000000,0.000000,0.000000,0.009308,0.263714,0.000050,0.267662,0.266391,0.000001,0.206846,0.178259,0.176989
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.048373,0.291416,0.000050,0.415073,0.418881,0.000006,0.385807,0.444313,0.446973
tri3_tex8_grey_quintic_bspline_direct,tri3,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.027984,0.182389,0.000050,0.183351,0.176218,0.000004,0.078039,0.069100,0.066602
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.024578,0.138004,0.000040,0.144847,0.147382,0.000003,0.108915,0.097614,0.099085
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,0.000000,0.000000,0.000000,0.000000,0.178350,0.198851,0.000050,0.284042,0.291759,0.000003,0.436605,0.307631,0.314904
