Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,2.000000,2.000000,1600000.000000,1600000.000000,3.847608,7.595353,0.000210,11.461397,11.514862,0.000437,185.160240,125.782574,125.233619
tri3_nodal_rgb,tri3,nodal_rgb,nodal,2.000000,2.000000,1600000.000000,1600000.000000,11.527596,13.208678,0.000261,24.769056,24.867569,0.000133,100.550236,51.724483,51.592898
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,2.000000,2.000000,1600000.000000,1600000.000000,3.839283,20.386362,0.000261,24.293958,24.356749,0.000397,75.396515,61.996922,61.789419
tri3_tex8_grey_cubic_catmull_rom_direct,tri3,tex8_grey,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,3.687646,34.269099,0.000180,37.990971,38.038144,0.000320,42.947456,36.892061,36.836064
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,3.694459,34.815342,0.000150,38.533806,38.589425,0.000458,41.897196,38.201135,38.152561
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,2.000000,2.000000,1600000.000000,1600000.000000,3.699027,34.333398,0.000250,38.174551,38.227707,0.000346,41.700031,37.770554,37.712850
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,2.000000,2.000000,1600000.000000,1600000.000000,3.719768,45.407270,0.000240,49.133931,49.183448,0.000444,31.787048,29.489022,29.458144
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,3.716620,34.410061,0.000250,38.200525,38.251473,0.000326,43.401387,37.206528,37.158434
tri3_tex8_grey_quintic_bspline_direct,tri3,tex8_grey,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,3.690329,60.831968,0.000311,64.656249,64.718831,0.000498,24.259845,22.961489,22.944835
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,3.717662,45.112590,0.000160,48.988793,49.039003,0.000478,32.609681,30.260273,30.233295
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,2.000000,2.000000,1600000.000000,1600000.000000,11.068389,26.687466,0.000230,37.866602,37.917543,0.000139,53.244458,37.470680,37.418535
tri3_tex8_rgb_cubic_catmull_rom_direct,tri3,tex8_rgb,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,11.091945,49.289185,0.000271,60.551842,60.606690,0.000165,30.121517,24.771325,24.750927
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,11.115200,48.602039,0.000170,59.893835,59.955265,0.000147,30.071331,24.746056,24.725580
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,2.000000,2.000000,1600000.000000,1600000.000000,11.159503,48.588947,0.000300,59.815981,59.878804,0.000144,29.903337,23.739436,23.717058
tri3_tex8_rgb_lanczos3_lut_lerp,tri3,tex8_rgb,lanczos3,2.000000,2.000000,1600000.000000,1600000.000000,11.240158,76.167030,0.000270,87.540247,87.593772,0.000139,19.388693,16.849438,16.837698
tri3_tex8_rgb_cubic_bspline_lut_lerp,tri3,tex8_rgb,cubic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,11.225328,49.156449,0.000231,60.446043,60.502241,0.000155,29.794743,24.181792,24.161373
tri3_tex8_rgb_quintic_bspline_direct,tri3,tex8_rgb,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,11.230856,92.460204,0.000250,103.725769,103.782319,0.000137,16.129701,14.352330,14.344661
tri3_tex8_rgb_quintic_bspline_lut_lerp,tri3,tex8_rgb,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,11.150168,76.306034,0.000291,87.582303,87.638652,0.000141,19.552464,16.906078,16.895338
tri3_texfunc_grey_param_constant,tri3,texfunc_grey,constant,2.000000,2.000000,1600000.000000,1600000.000000,3.706325,8.716171,0.000281,12.451031,12.500798,0.000497,144.780880,107.392050,106.908672
tri3_texfunc_grey_uv_constant,tri3,texfunc_grey,constant,2.000000,2.000000,1600000.000000,1600000.000000,3.731193,8.898696,0.000280,12.703182,12.755314,0.000443,131.531332,99.178572,98.804667
tri3_texfunc_grey_param_sinusoidal,tri3,texfunc_grey,sinusoidal,2.000000,2.000000,1600000.000000,1600000.000000,3.715983,25.097551,0.000180,28.873783,28.926926,0.000457,56.487457,49.436964,49.346113
tri3_texfunc_grey_uv_sinusoidal,tri3,texfunc_grey,sinusoidal,2.000000,2.000000,1600000.000000,1600000.000000,3.653452,29.687557,0.000200,33.496782,33.549364,0.000375,48.163855,42.993522,42.929674
tri3_texfunc_rgb_param_constant,tri3,texfunc_rgb,constant,2.000000,2.000000,1600000.000000,1600000.000000,10.737389,17.547070,0.000291,28.484590,28.550910,0.000140,74.646408,48.494034,48.395948
tri3_texfunc_rgb_uv_constant,tri3,texfunc_rgb,constant,2.000000,2.000000,1600000.000000,1600000.000000,10.972053,17.585645,0.000251,28.665026,28.727900,0.000167,77.814479,49.669149,49.561564
tri3_texfunc_rgb_param_sinusoidal,tri3,texfunc_rgb,sinusoidal,2.000000,2.000000,1600000.000000,1600000.000000,10.578116,46.530986,0.000301,57.361659,57.419221,0.000154,31.700297,26.133587,26.108382
tri3_texfunc_rgb_uv_sinusoidal,tri3,texfunc_rgb,sinusoidal,2.000000,2.000000,1600000.000000,1600000.000000,10.817642,52.312192,0.000281,63.300986,63.365272,0.000143,28.685002,23.298628,23.280049
tri6_nodal_grey,tri6,nodal_grey,nodal,2.000000,2.000000,1600000.000000,1600000.000000,3.581177,33.889920,0.000150,37.781761,37.840637,0.000445,42.689223,38.561237,38.510926
tri6_nodal_rgb,tri6,nodal_rgb,nodal,2.000000,2.000000,1600000.000000,1600000.000000,11.192890,38.825924,0.000281,50.301745,50.356822,0.000147,37.002676,29.012628,28.980767
tri6_tex8_grey_linear_direct,tri6,tex8_grey,linear,2.000000,2.000000,1600000.000000,1600000.000000,3.717443,41.775068,0.000220,45.532769,45.591745,0.000446,37.275772,33.819747,33.777125
tri6_tex8_grey_cubic_catmull_rom_direct,tri6,tex8_grey,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,3.770876,56.654838,0.000270,60.688249,60.743766,0.000457,26.531706,24.798609,24.776504
tri6_tex8_grey_cubic_catmull_rom_lut_lerp,tri6,tex8_grey,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,3.728934,56.341143,0.000140,60.215270,60.269347,0.000352,25.389660,23.409008,23.386285
tri6_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri6,tex8_grey,cubic_mitchell_netravali,2.000000,2.000000,1600000.000000,1600000.000000,3.831634,56.158351,0.000251,60.123997,60.178452,0.000415,24.054487,22.490332,22.466004
tri6_tex8_grey_lanczos3_lut_lerp,tri6,tex8_grey,lanczos3,2.000000,2.000000,1600000.000000,1600000.000000,3.992367,70.666980,0.000261,74.754973,74.817947,0.000409,22.271430,20.937202,20.922058
tri6_tex8_grey_cubic_bspline_lut_lerp,tri6,tex8_grey,cubic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,3.998257,59.333049,0.000250,63.558369,63.617043,0.000416,26.335647,24.593499,24.572567
tri6_tex8_grey_quintic_bspline_direct,tri6,tex8_grey,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,3.997866,86.222804,0.000281,90.332707,90.389277,0.000445,18.293254,17.407307,17.393199
tri6_tex8_grey_quintic_bspline_lut_lerp,tri6,tex8_grey,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,4.004459,70.985463,0.000250,74.992787,75.049257,0.000422,22.203047,20.881747,20.866063
tri6_tex8_rgb_linear_direct,tri6,tex8_rgb,linear,2.000000,2.000000,1600000.000000,1600000.000000,11.927960,51.333161,0.000270,63.724120,63.784517,0.000151,30.427643,24.622008,24.598861
tri6_tex8_rgb_cubic_catmull_rom_direct,tri6,tex8_rgb,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,11.968847,73.943884,0.000270,86.229257,86.291909,0.000152,20.755493,17.859473,17.843491
tri6_tex8_rgb_cubic_catmull_rom_lut_lerp,tri6,tex8_rgb,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,11.535179,71.325911,0.000270,82.861360,82.918822,0.000141,20.630872,17.554486,17.541077
tri6_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri6,tex8_rgb,cubic_mitchell_netravali,2.000000,2.000000,1600000.000000,1600000.000000,11.468459,71.038952,0.000261,82.618497,82.675136,0.000150,20.756102,17.804035,17.783688
tri6_tex8_rgb_lanczos3_lut_lerp,tri6,tex8_rgb,lanczos3,2.000000,2.000000,1600000.000000,1600000.000000,11.487814,97.788455,0.000210,109.294906,109.347619,0.000133,14.871280,13.099158,13.092162
tri6_tex8_rgb_cubic_bspline_lut_lerp,tri6,tex8_rgb,cubic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,11.475338,70.793332,0.000170,82.354548,82.417700,0.000145,20.942930,17.972528,17.960828
tri6_tex8_rgb_quintic_bspline_direct,tri6,tex8_rgb,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,11.503500,112.802995,0.000270,124.320731,124.375569,0.000144,13.096057,11.909157,11.904008
tri6_tex8_rgb_quintic_bspline_lut_lerp,tri6,tex8_rgb,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,11.465253,97.610220,0.000271,109.216749,109.269572,0.000146,15.273882,13.609287,13.601933
tri6_texfunc_grey_param_constant,tri6,texfunc_grey,constant,2.000000,2.000000,1600000.000000,1600000.000000,3.888086,35.459466,0.000160,39.393903,39.449721,0.000354,42.130016,37.890896,37.846318
tri6_texfunc_grey_uv_constant,tri6,texfunc_grey,constant,2.000000,2.000000,1600000.000000,1600000.000000,4.003161,36.893784,0.000260,41.112400,41.172089,0.000427,42.567011,37.917997,37.864474
tri6_texfunc_grey_param_sinusoidal,tri6,texfunc_grey,sinusoidal,2.000000,2.000000,1600000.000000,1600000.000000,3.997268,53.823582,0.000361,57.857713,57.916857,0.000426,28.851175,26.871398,26.843636
tri6_texfunc_grey_uv_sinusoidal,tri6,texfunc_grey,sinusoidal,2.000000,2.000000,1600000.000000,1600000.000000,4.009753,58.182308,0.000210,62.200236,62.258027,0.000431,27.100009,25.229347,25.204503
tri6_texfunc_rgb_param_constant,tri6,texfunc_rgb,constant,2.000000,2.000000,1600000.000000,1600000.000000,11.937888,45.213601,0.000361,57.183890,57.248036,0.000149,34.286663,26.980581,26.953015
tri6_texfunc_rgb_uv_constant,tri6,texfunc_rgb,constant,2.000000,2.000000,1600000.000000,1600000.000000,11.902376,45.235848,0.000381,57.302954,57.372749,0.000152,34.713982,27.108505,27.079903
tri6_texfunc_rgb_param_sinusoidal,tri6,texfunc_rgb,sinusoidal,2.000000,2.000000,1600000.000000,1600000.000000,11.904950,73.095156,0.000401,85.475219,85.549424,0.000152,21.473466,18.337173,18.323431
tri6_texfunc_rgb_uv_sinusoidal,tri6,texfunc_rgb,sinusoidal,2.000000,2.000000,1600000.000000,1600000.000000,11.928022,79.256494,0.000361,91.387135,91.457282,0.000150,19.731509,17.196353,17.185094
quad4ibi_nodal_grey,quad4ibi,nodal_grey,nodal,1.000000,1.000000,1600000.000000,1600000.000000,3.996723,20.663382,0.000271,24.700034,24.774829,0.000214,71.615741,60.637424,60.484578
quad4ibi_nodal_rgb,quad4ibi,nodal_rgb,nodal,1.000000,1.000000,1600000.000000,1600000.000000,11.933240,29.833497,0.000291,42.015780,42.077330,0.000074,50.624690,36.601962,36.550346
quad4ibi_tex8_grey_linear_direct,quad4ibi,tex8_grey,linear,1.000000,1.000000,1600000.000000,1600000.000000,4.001663,28.172353,0.000261,32.329017,32.383534,0.000214,55.776975,48.225152,48.146794
quad4ibi_tex8_grey_cubic_catmull_rom_direct,quad4ibi,tex8_grey,cubic_catmull_rom,1.000000,1.000000,1600000.000000,1600000.000000,4.009418,58.878799,0.000231,62.898607,62.969515,0.000212,26.679016,24.911559,24.889078
quad4ibi_tex8_grey_cubic_catmull_rom_lut_lerp,quad4ibi,tex8_grey,cubic_catmull_rom,1.000000,1.000000,1600000.000000,1600000.000000,3.980402,59.798182,0.000281,63.815915,63.875159,0.000217,26.575816,24.802639,24.770284
quad4ibi_tex8_grey_cubic_mitchell_netravali_lut_lerp,quad4ibi,tex8_grey,cubic_mitchell_netravali,1.000000,1.000000,1600000.000000,1600000.000000,3.977926,59.302435,0.000280,63.316752,63.374293,0.000215,26.804762,24.955294,24.926632
quad4ibi_tex8_grey_lanczos3_lut_lerp,quad4ibi,tex8_grey,lanczos3,1.000000,1.000000,1600000.000000,1600000.000000,3.985320,75.020740,0.000270,79.052250,79.109771,0.000214,21.222271,20.035451,20.021991
quad4ibi_tex8_grey_cubic_bspline_lut_lerp,quad4ibi,tex8_grey,cubic_bspline,1.000000,1.000000,1600000.000000,1600000.000000,3.985059,59.597714,0.000141,63.607310,63.667056,0.000215,26.725621,24.854019,24.817129
quad4ibi_tex8_grey_quintic_bspline_direct,quad4ibi,tex8_grey,quintic_bspline,1.000000,1.000000,1600000.000000,1600000.000000,3.986861,93.010027,0.000261,97.049475,97.104182,0.000213,17.140940,16.339238,16.328794
quad4ibi_tex8_grey_quintic_bspline_lut_lerp,quad4ibi,tex8_grey,quintic_bspline,1.000000,1.000000,1600000.000000,1600000.000000,3.985689,75.950788,0.000231,79.988820,80.045933,0.000213,20.918805,19.802945,19.790551
quad4ibi_tex8_rgb_linear_direct,quad4ibi,tex8_rgb,linear,1.000000,1.000000,1600000.000000,1600000.000000,11.967455,38.287389,0.000250,50.403207,50.466100,0.000075,40.979928,30.698222,30.664609
quad4ibi_tex8_rgb_cubic_catmull_rom_direct,quad4ibi,tex8_rgb,cubic_catmull_rom,1.000000,1.000000,1600000.000000,1600000.000000,11.940051,71.473722,0.000250,83.711464,83.769897,0.000075,22.014430,18.760177,18.748785
quad4ibi_tex8_rgb_cubic_catmull_rom_lut_lerp,quad4ibi,tex8_rgb,cubic_catmull_rom,1.000000,1.000000,1600000.000000,1600000.000000,11.989585,75.049936,0.000260,87.242935,87.309643,0.000075,20.971851,17.910662,17.899692
quad4ibi_tex8_rgb_cubic_mitchell_netravali_lut_lerp,quad4ibi,tex8_rgb,cubic_mitchell_netravali,1.000000,1.000000,1600000.000000,1600000.000000,11.946700,74.578706,0.000260,86.822480,86.879000,0.000075,21.028342,17.920277,17.906143
quad4ibi_tex8_rgb_lanczos3_lut_lerp,quad4ibi,tex8_rgb,lanczos3,1.000000,1.000000,1600000.000000,1600000.000000,11.990061,100.501611,0.000280,112.651967,112.714538,0.000076,15.805111,14.026124,12.956938
quad4ibi_tex8_rgb_cubic_bspline_lut_lerp,quad4ibi,tex8_rgb,cubic_bspline,1.000000,1.000000,1600000.000000,1600000.000000,11.991022,74.906518,0.000250,87.050494,87.105189,0.000075,21.070128,18.055168,18.043138
quad4ibi_tex8_rgb_quintic_bspline_direct,quad4ibi,tex8_rgb,quintic_bspline,1.000000,1.000000,1600000.000000,1600000.000000,11.972013,127.819754,0.000260,140.092260,140.151093,0.000076,12.244392,11.152896,11.147748
quad4ibi_tex8_rgb_quintic_bspline_lut_lerp,quad4ibi,tex8_rgb,quintic_bspline,1.000000,1.000000,1600000.000000,1600000.000000,11.997539,101.808158,0.000270,114.036549,114.090646,0.000075,15.479348,13.772801,13.765474
quad4ibi_texfunc_grey_param_constant,quad4ibi,texfunc_grey,constant,1.000000,1.000000,1600000.000000,1600000.000000,4.013678,20.785382,0.000270,24.828357,24.881630,0.000214,74.395065,62.151650,62.016482
quad4ibi_texfunc_grey_uv_constant,quad4ibi,texfunc_grey,constant,1.000000,1.000000,1600000.000000,1600000.000000,4.027394,24.185406,0.000160,28.261105,28.317534,0.000214,63.633858,54.704240,54.593206
quad4ibi_texfunc_grey_param_sinusoidal,quad4ibi,texfunc_grey,sinusoidal,1.000000,1.000000,1600000.000000,1600000.000000,4.049738,39.659895,0.000260,43.741333,43.800308,0.000214,39.727864,35.809428,35.757285
quad4ibi_texfunc_grey_uv_sinusoidal,quad4ibi,texfunc_grey,sinusoidal,1.000000,1.000000,1600000.000000,1600000.000000,4.040739,47.829564,0.000250,51.886906,51.945681,0.000215,32.979426,30.148129,30.116164
quad4ibi_texfunc_rgb_param_constant,quad4ibi,texfunc_rgb,constant,1.000000,1.000000,1600000.000000,1600000.000000,12.015119,27.007032,0.000250,39.290963,39.348825,0.000072,57.347557,38.731065,38.677501
quad4ibi_texfunc_rgb_uv_constant,quad4ibi,texfunc_rgb,constant,1.000000,1.000000,1600000.000000,1600000.000000,12.000441,31.497000,0.000280,43.548240,43.611041,0.000075,49.934918,35.460998,35.415511
quad4ibi_texfunc_rgb_param_sinusoidal,quad4ibi,texfunc_rgb,sinusoidal,1.000000,1.000000,1600000.000000,1600000.000000,12.006742,55.318659,0.000270,67.731736,67.800180,0.000075,28.472677,23.186632,23.155375
quad4ibi_texfunc_rgb_uv_sinusoidal,quad4ibi,texfunc_rgb,sinusoidal,1.000000,1.000000,1600000.000000,1600000.000000,12.018462,64.789851,0.000270,76.999284,77.059871,0.000076,24.438606,20.375527,20.359839
quad4newton_nodal_grey,quad4newton,nodal_grey,nodal,1.000000,1.000000,1600000.000000,1600000.000000,4.021200,23.298578,0.000170,27.448407,27.502522,0.000217,66.429552,56.180545,56.067697
quad4newton_nodal_rgb,quad4newton,nodal_rgb,nodal,1.000000,1.000000,1600000.000000,1600000.000000,11.999314,28.459569,0.000260,40.815306,40.871364,0.000075,54.060214,37.679077,37.626546
quad4newton_tex8_grey_linear_direct,quad4newton,tex8_grey,linear,1.000000,1.000000,1600000.000000,1600000.000000,4.007241,30.398031,0.000261,34.565606,34.625823,0.000216,51.480625,44.810926,44.727949
quad4newton_tex8_grey_cubic_catmull_rom_direct,quad4newton,tex8_grey,cubic_catmull_rom,1.000000,1.000000,1600000.000000,1600000.000000,4.005278,46.404020,0.000251,50.421391,50.481679,0.000201,33.964472,30.817394,30.782849
quad4newton_tex8_grey_cubic_catmull_rom_lut_lerp,quad4newton,tex8_grey,cubic_catmull_rom,1.000000,1.000000,1600000.000000,1600000.000000,4.018434,47.570573,0.000270,51.597173,51.657529,0.000216,32.903569,30.179303,30.143198
quad4newton_tex8_grey_cubic_mitchell_netravali_lut_lerp,quad4newton,tex8_grey,cubic_mitchell_netravali,1.000000,1.000000,1600000.000000,1600000.000000,4.017140,47.575671,0.000130,51.789000,51.846995,0.000217,32.926537,30.153320,30.118156
quad4newton_tex8_grey_lanczos3_lut_lerp,quad4newton,tex8_grey,lanczos3,1.000000,1.000000,1600000.000000,1600000.000000,4.012751,58.661037,0.000251,62.718646,62.778452,0.000216,26.250920,24.608198,24.586995
quad4newton_tex8_grey_cubic_bspline_lut_lerp,quad4newton,tex8_grey,cubic_bspline,1.000000,1.000000,1600000.000000,1600000.000000,4.025205,47.689463,0.000261,51.748845,51.819760,0.000217,33.050086,30.302114,30.270527
quad4newton_tex8_grey_quintic_bspline_direct,quad4newton,tex8_grey,quintic_bspline,1.000000,1.000000,1600000.000000,1600000.000000,4.029813,74.641058,0.000150,78.705900,78.765776,0.000213,21.247958,20.066789,20.052064
quad4newton_tex8_grey_quintic_bspline_lut_lerp,quad4newton,tex8_grey,quintic_bspline,1.000000,1.000000,1600000.000000,1600000.000000,4.016798,59.371371,0.000150,63.421420,63.477380,0.000217,26.493287,24.764183,24.740867
quad4newton_tex8_rgb_linear_direct,quad4newton,tex8_rgb,linear,1.000000,1.000000,1600000.000000,1600000.000000,11.994024,39.589235,0.000250,51.638486,51.690607,0.000075,38.761530,29.895659,29.861825
quad4newton_tex8_rgb_cubic_catmull_rom_direct,quad4newton,tex8_rgb,cubic_catmull_rom,1.000000,1.000000,1600000.000000,1600000.000000,11.994414,62.775536,0.000251,74.852518,74.912385,0.000076,25.094170,20.889462,20.869961
quad4newton_tex8_rgb_cubic_catmull_rom_lut_lerp,quad4newton,tex8_rgb,cubic_catmull_rom,1.000000,1.000000,1600000.000000,1600000.000000,11.993280,63.853680,0.000270,75.985688,76.043380,0.000075,24.548033,20.549302,20.534187
quad4newton_tex8_rgb_cubic_mitchell_netravali_lut_lerp,quad4newton,tex8_rgb,cubic_mitchell_netravali,1.000000,1.000000,1600000.000000,1600000.000000,11.987977,63.463216,0.000271,75.758958,75.817381,0.000076,24.606017,20.669086,20.651468
quad4newton_tex8_rgb_lanczos3_lut_lerp,quad4newton,tex8_rgb,lanczos3,1.000000,1.000000,1600000.000000,1600000.000000,11.983307,91.871873,0.000240,104.110415,104.165202,0.000075,17.176811,15.163686,15.154968
