Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,1.240883,4.061304,26.246719,1.026332,1.010126,1.256474,4.233228,1.036975,1.020434
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,1.715475,2.898465,16.172507,2.872416,2.963180,1.725709,2.984983,2.957364,3.053666
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,0.000000,0.000000,0.000000,0.000000,2.219183,2.759693,35.734072,3.516264,3.655722,2.246157,2.685579,3.396822,3.526793
tri3_tex8_grey_cubic_catmull_rom_direct,tri3,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,1.466336,1.496178,29.900332,0.784238,0.876776,1.445145,1.474123,0.778136,0.869156
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,1.471076,1.563704,37.735849,1.729703,1.716561,1.449749,1.539629,1.760149,1.737643
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.899628,0.997903,14.285714,0.777922,0.679679,0.907795,1.007962,0.784021,0.684330
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,0.000000,0.000000,0.000000,0.000000,0.659196,2.416507,18.372703,2.061580,2.081519,0.654879,2.476348,2.104975,2.125767
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.919017,0.526929,5.390836,0.344068,0.343835,0.927542,0.529720,0.342889,0.342656
tri3_tex8_grey_quintic_bspline_direct,tri3,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,3.596339,3.819739,23.684211,3.957940,4.073400,3.730501,3.971438,4.121049,4.246372
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,2.018958,1.741956,5.115090,2.292262,2.303590,1.979003,1.712131,2.312867,2.298577
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,0.000000,0.000000,0.000000,0.000000,0.824036,2.665538,16.620499,0.999316,0.948373,0.817301,2.596332,1.009403,0.957453
tri3_tex8_rgb_cubic_catmull_rom_direct,tri3,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.537257,1.713862,11.080332,1.108764,1.032786,0.537693,1.690259,1.121196,1.043564
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,1.274415,1.999520,22.869023,1.287939,1.277113,1.290866,2.040317,1.271562,1.261008
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,3.186840,2.596784,17.692308,4.305831,4.288686,3.291743,2.638890,4.499575,4.480856
tri3_tex8_rgb_lanczos3_lut_lerp,tri3,tex8_rgb,lanczos3,0.000000,0.000000,0.000000,0.000000,2.872985,1.383543,17.456359,1.210060,1.186706,2.843090,1.402954,1.224881,1.200957
tri3_tex8_rgb_cubic_bspline_lut_lerp,tri3,tex8_rgb,cubic_bspline,0.000000,0.000000,0.000000,0.000000,2.811023,1.400425,16.627078,0.791525,0.755989,2.892327,1.420315,0.785309,0.750317
tri3_tex8_rgb_quintic_bspline_direct,tri3,tex8_rgb,quintic_bspline,0.000000,0.000000,0.000000,0.000000,1.836630,1.251824,14.962594,0.699245,0.689958,1.870993,1.267694,0.696333,0.694752
tri3_tex8_rgb_quintic_bspline_lut_lerp,tri3,tex8_rgb,quintic_bspline,0.000000,0.000000,0.000000,0.000000,1.851694,0.904822,20.789474,0.548336,0.459038,1.886628,0.896708,0.551359,0.461155
tri3_texfunc_grey_param_constant,tri3,texfunc_grey,constant,0.000000,0.000000,0.000000,0.000000,2.709789,1.684872,24.528302,1.981890,2.144917,2.638296,1.713747,2.021963,2.191932
tri3_texfunc_grey_uv_constant,tri3,texfunc_grey,constant,0.000000,0.000000,0.000000,0.000000,0.663914,5.168855,24.330900,2.832524,2.858064,0.668351,5.450588,2.915094,2.792221
tri3_texfunc_grey_param_sinusoidal,tri3,texfunc_grey,sinusoidal,0.000000,0.000000,0.000000,0.000000,5.548159,2.080867,25.207756,2.124762,2.103231,5.256519,2.125087,2.170888,2.148417
tri3_texfunc_grey_uv_sinusoidal,tri3,texfunc_grey,sinusoidal,0.000000,0.000000,0.000000,0.000000,1.062737,2.680930,20.997375,1.568281,1.475547,1.074152,2.754783,1.544066,1.454091
tri3_texfunc_rgb_param_constant,tri3,texfunc_rgb,constant,0.000000,0.000000,0.000000,0.000000,1.885667,2.574843,20.789474,1.862869,1.979364,1.921908,2.510209,1.837487,2.019334
tri3_texfunc_rgb_uv_constant,tri3,texfunc_rgb,constant,0.000000,0.000000,0.000000,0.000000,1.765231,3.414044,23.201856,0.901349,0.916149,1.796951,3.301335,0.909548,0.924620
tri3_texfunc_rgb_param_sinusoidal,tri3,texfunc_rgb,sinusoidal,0.000000,0.000000,0.000000,0.000000,2.997187,1.095982,6.042296,0.768655,0.756491,2.909970,1.084100,0.774609,0.762257
tri3_texfunc_rgb_uv_sinusoidal,tri3,texfunc_rgb,sinusoidal,0.000000,0.000000,0.000000,0.000000,2.892765,0.954983,13.477089,1.355571,1.328839,2.978939,0.945950,1.337441,1.311412
tri6_nodal_grey,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.965910,2.021582,10.810811,1.709537,1.805953,0.956669,1.981524,1.739270,1.839167
