Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,2.000000,2.000000,1600000.000000,1600000.000000,4.953114,3.503112,0.004409,8.001193,8.103840,0.000523,610.274505,245.222416,243.140512
tri3_nodal_rgb,tri3,nodal_rgb,nodal,2.000000,2.000000,1600000.000000,1600000.000000,14.681320,5.456701,0.001122,18.788621,18.855850,0.000178,389.873523,103.399578,102.854145
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,2.000000,2.000000,1600000.000000,1600000.000000,4.568867,7.874860,0.001203,11.606261,11.704067,0.000536,283.225492,168.240451,167.107570
tri3_tex8_grey_cubic_catmull_rom_direct,tri3,tex8_grey,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,3.966651,11.983453,0.000531,15.818542,15.882965,0.000533,172.520968,122.756529,122.102796
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,6.144089,11.254415,0.000611,16.899957,16.964301,0.000527,161.178424,115.848511,115.314459
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,2.000000,2.000000,1600000.000000,1600000.000000,4.610816,11.408741,0.000711,15.433503,15.518416,0.000532,162.605096,116.812178,116.247482
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,2.000000,2.000000,1600000.000000,1600000.000000,4.049890,15.491825,0.000682,19.305732,19.369475,0.000526,128.975436,98.232237,97.818435
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,4.620585,10.655055,0.000711,15.276010,15.336227,0.000532,164.607343,117.692267,117.162960
tri3_tex8_grey_quintic_bspline_direct,tri3,tex8_grey,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,4.607120,22.083523,0.000811,26.039773,26.139645,0.000529,97.017771,78.620992,78.366355
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,4.843143,14.742417,0.001072,18.581303,18.683990,0.000543,128.833512,98.049063,97.660631
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,2.000000,2.000000,1600000.000000,1600000.000000,11.970157,10.077876,0.000662,21.504501,21.589996,0.000178,205.220554,82.900249,82.564137
tri3_tex8_rgb_cubic_catmull_rom_direct,tri3,tex8_rgb,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,12.167687,16.477546,0.000741,27.985497,28.057956,0.000178,117.965783,64.050756,63.844205
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,12.603424,16.543312,0.001353,28.050320,28.121769,0.000180,118.942827,63.986537,63.794063
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,2.000000,2.000000,1600000.000000,1600000.000000,14.449374,17.684612,0.001012,30.064335,30.186611,0.000179,118.430862,64.103409,63.900382
tri3_tex8_rgb_lanczos3_lut_lerp,tri3,tex8_rgb,lanczos3,2.000000,2.000000,1600000.000000,1600000.000000,13.192734,27.642278,0.001122,39.682972,39.778325,0.000172,74.454471,47.372606,47.269343
tri3_tex8_rgb_cubic_bspline_lut_lerp,tri3,tex8_rgb,cubic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,13.095336,15.291832,0.000762,28.137301,28.207374,0.000169,113.143906,60.929550,60.758283
tri3_tex8_rgb_quintic_bspline_direct,tri3,tex8_rgb,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,14.140292,27.266648,0.000702,40.025489,40.097466,0.000172,61.812371,42.231943,42.147022
tri3_tex8_rgb_quintic_bspline_lut_lerp,tri3,tex8_rgb,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,13.081320,24.713550,0.001483,36.555791,36.625765,0.000169,76.496122,48.004319,47.884431
tri3_texfunc_grey_param_constant,tri3,texfunc_grey,constant,2.000000,2.000000,1600000.000000,1600000.000000,4.562083,3.977001,0.001794,8.079481,8.164465,0.000516,493.838287,223.845851,221.552733
tri3_texfunc_grey_uv_constant,tri3,texfunc_grey,constant,2.000000,2.000000,1600000.000000,1600000.000000,4.597823,4.081832,0.000691,8.450345,8.530077,0.000515,497.084908,225.163610,222.943040
tri3_texfunc_grey_param_sinusoidal,tri3,texfunc_grey,sinusoidal,2.000000,2.000000,1600000.000000,1600000.000000,4.604776,8.282742,0.001773,12.838003,12.919429,0.000511,221.988826,141.848197,140.537829
tri3_texfunc_grey_uv_sinusoidal,tri3,texfunc_grey,sinusoidal,2.000000,2.000000,1600000.000000,1600000.000000,5.569747,9.429963,0.000972,14.874732,14.940848,0.000508,191.730611,128.406906,127.640340
tri3_texfunc_rgb_param_constant,tri3,texfunc_rgb,constant,2.000000,2.000000,1600000.000000,1600000.000000,12.929788,6.804957,0.000821,19.228556,19.329990,0.000171,284.057218,91.737670,91.345791
tri3_texfunc_rgb_uv_constant,tri3,texfunc_rgb,constant,2.000000,2.000000,1600000.000000,1600000.000000,13.092842,7.066398,0.000872,19.106048,19.207313,0.000170,292.698918,91.251637,90.830651
tri3_texfunc_rgb_param_sinusoidal,tri3,texfunc_rgb,sinusoidal,2.000000,2.000000,1600000.000000,1600000.000000,13.209977,14.595124,0.000561,26.791545,26.860298,0.000169,121.680869,63.047521,62.883961
tri3_texfunc_rgb_uv_sinusoidal,tri3,texfunc_rgb,sinusoidal,2.000000,2.000000,1600000.000000,1600000.000000,13.506175,16.575193,0.001443,30.081839,30.153086,0.000171,108.058314,58.972830,58.806007
tri6_nodal_grey,tri6,nodal_grey,nodal,2.000000,2.000000,1600000.000000,1600000.000000,4.625936,10.301597,0.001392,14.757387,14.855474,0.000512,169.294004,119.497941,118.887395
tri6_nodal_rgb,tri6,nodal_rgb,nodal,2.000000,2.000000,1600000.000000,1600000.000000,13.557514,12.126338,0.000752,25.118667,25.194352,0.000172,147.003927,70.548398,70.294498
tri6_tex8_grey_linear_direct,tri6,tex8_grey,linear,2.000000,2.000000,1600000.000000,1600000.000000,4.046072,12.443215,0.001733,16.480261,16.573821,0.000513,139.143575,103.889891,103.191986
tri6_tex8_grey_cubic_catmull_rom_direct,tri6,tex8_grey,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,4.577854,16.830554,0.000682,20.986368,21.058667,0.000505,102.842562,81.189124,80.876834
tri6_tex8_grey_cubic_catmull_rom_lut_lerp,tri6,tex8_grey,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,4.581912,18.236301,0.001433,22.288807,22.363740,0.000508,99.527091,79.300003,79.037747
tri6_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri6,tex8_grey,cubic_mitchell_netravali,2.000000,2.000000,1600000.000000,1600000.000000,4.676693,18.974757,0.000751,23.651961,23.717627,0.000504,100.462075,79.522527,79.251913
tri6_tex8_grey_lanczos3_lut_lerp,tri6,tex8_grey,lanczos3,2.000000,2.000000,1600000.000000,1600000.000000,4.593985,23.558533,0.001532,27.597313,27.686232,0.000504,84.185240,69.353469,69.134913
tri6_tex8_grey_cubic_bspline_lut_lerp,tri6,tex8_grey,cubic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,4.639733,18.744866,0.000811,22.797371,22.866484,0.000502,102.734919,79.405290,79.116181
tri6_tex8_grey_quintic_bspline_direct,tri6,tex8_grey,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,4.603092,23.876753,0.000611,28.330981,28.438596,0.000505,69.145208,59.044458,58.885001
tri6_tex8_grey_quintic_bspline_lut_lerp,tri6,tex8_grey,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,4.703826,19.974776,0.000851,24.378165,24.446787,0.000500,84.044039,69.092463,68.899804
tri6_tex8_rgb_linear_direct,tri6,tex8_rgb,linear,2.000000,2.000000,1600000.000000,1600000.000000,13.333313,18.038281,0.000731,30.442742,30.565978,0.000168,117.061365,61.123557,60.947294
tri6_tex8_rgb_cubic_catmull_rom_direct,tri6,tex8_rgb,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,13.315138,21.981837,0.001222,33.984307,34.058018,0.000168,80.754016,49.998986,49.885357
tri6_tex8_rgb_cubic_catmull_rom_lut_lerp,tri6,tex8_rgb,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,13.325817,20.881736,0.001372,34.207934,34.290193,0.000160,79.628121,48.820898,48.695413
tri6_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri6,tex8_rgb,cubic_mitchell_netravali,2.000000,2.000000,1600000.000000,1600000.000000,13.636284,21.201760,0.000731,34.453526,34.521938,0.000167,79.621888,49.303485,49.184797
tri6_tex8_rgb_lanczos3_lut_lerp,tri6,tex8_rgb,lanczos3,2.000000,2.000000,1600000.000000,1600000.000000,12.996146,28.980686,0.001012,41.112294,41.228245,0.000169,57.911779,40.538906,40.464761
tri6_tex8_rgb_cubic_bspline_lut_lerp,tri6,tex8_rgb,cubic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,13.328023,22.325837,0.001543,34.256299,34.331843,0.000171,79.549464,49.888006,49.778591
tri6_tex8_rgb_quintic_bspline_direct,tri6,tex8_rgb,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,13.155190,33.098427,0.001092,45.841195,45.938173,0.000168,50.418283,36.540229,36.475972
tri6_tex8_rgb_quintic_bspline_lut_lerp,tri6,tex8_rgb,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,13.081780,28.851378,0.001022,41.933498,42.001810,0.000169,58.395885,40.379070,40.297005
tri6_texfunc_grey_param_constant,tri6,texfunc_grey,constant,2.000000,2.000000,1600000.000000,1600000.000000,4.566352,11.018171,0.001142,15.184134,15.255000,0.000506,158.555685,113.424772,112.718405
tri6_texfunc_grey_uv_constant,tri6,texfunc_grey,constant,2.000000,2.000000,1600000.000000,1600000.000000,4.579006,13.232038,0.000661,17.302770,17.400937,0.000506,156.806510,112.755962,112.202821
tri6_texfunc_grey_param_sinusoidal,tri6,texfunc_grey,sinusoidal,2.000000,2.000000,1600000.000000,1600000.000000,4.667525,15.842307,0.000641,20.205167,20.269361,0.000499,109.937641,86.048999,85.730441
tri6_texfunc_grey_uv_sinusoidal,tri6,texfunc_grey,sinusoidal,2.000000,2.000000,1600000.000000,1600000.000000,4.562354,19.096020,0.000872,23.658624,23.731744,0.000503,101.227978,80.894487,80.615292
