Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,2.000000,2.000000,1600000.000000,1600000.000000,3.994173,2.965821,0.000381,6.995493,7.059215,0.000501,539.479625,228.718691,226.654097
tri3_nodal_rgb,tri3,nodal_rgb,nodal,2.000000,2.000000,1600000.000000,1600000.000000,11.567115,4.358273,0.000371,16.174886,16.282372,0.000173,367.117893,98.918781,98.265781
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,2.000000,2.000000,1600000.000000,1600000.000000,3.947354,6.151663,0.000361,10.183139,10.252392,0.000507,260.092271,157.122475,156.061142
tri3_tex8_grey_cubic_catmull_rom_direct,tri3,tex8_grey,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,3.829818,10.091042,0.000301,13.887107,13.958523,0.000522,158.556470,115.214782,114.625308
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,3.962474,10.425374,0.000371,14.407615,14.470615,0.000505,153.471712,111.052384,110.568901
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,2.000000,2.000000,1600000.000000,1600000.000000,3.850259,10.047268,0.000350,13.912575,13.973071,0.000519,159.247270,115.003872,114.505967
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,2.000000,2.000000,1600000.000000,1600000.000000,3.889433,12.901225,0.000381,16.812691,16.883586,0.000514,124.019231,95.166205,94.766598
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,3.841821,9.963578,0.000371,13.785341,13.850265,0.000521,160.584882,116.065319,115.521255
tri3_tex8_grey_quintic_bspline_direct,tri3,tex8_grey,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,4.002570,17.838338,0.000380,21.893257,21.990204,0.000500,89.694455,73.081863,72.759671
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,3.868332,12.940800,0.000391,16.859328,16.926538,0.000517,123.639960,94.902952,94.526122
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,2.000000,2.000000,1600000.000000,1600000.000000,11.446342,8.260320,0.000361,19.717191,19.791796,0.000175,193.697096,81.147462,80.841577
tri3_tex8_rgb_cubic_catmull_rom_direct,tri3,tex8_rgb,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,11.478304,13.992959,0.000361,25.533111,25.588849,0.000174,114.343221,62.663731,62.527236
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,11.849356,14.813453,0.000481,26.646297,26.715340,0.000169,108.009929,60.045867,59.890685
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,2.000000,2.000000,1600000.000000,1600000.000000,11.888201,14.246085,0.000390,26.513142,26.592013,0.000168,112.311558,60.347431,60.168442
tri3_tex8_rgb_lanczos3_lut_lerp,tri3,tex8_rgb,lanczos3,2.000000,2.000000,1600000.000000,1600000.000000,12.272809,22.094504,0.000401,34.812997,34.889444,0.000163,72.416199,45.959847,45.859143
tri3_tex8_rgb_cubic_bspline_lut_lerp,tri3,tex8_rgb,cubic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,12.280654,14.585005,0.000421,26.688369,26.767320,0.000163,109.701711,59.951209,59.774382
tri3_tex8_rgb_quintic_bspline_direct,tri3,tex8_rgb,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,12.016246,26.553089,0.000401,38.701618,38.772334,0.000166,60.256643,41.341941,41.266538
tri3_tex8_rgb_quintic_bspline_lut_lerp,tri3,tex8_rgb,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,12.210119,21.972609,0.000380,34.070172,34.138994,0.000164,72.817934,46.961900,46.867228
tri3_texfunc_grey_param_constant,tri3,texfunc_grey,constant,2.000000,2.000000,1600000.000000,1600000.000000,4.044190,3.535223,0.000371,7.656429,7.736384,0.000495,452.588139,208.974706,206.814967
tri3_texfunc_grey_uv_constant,tri3,texfunc_grey,constant,2.000000,2.000000,1600000.000000,1600000.000000,4.021907,3.423389,0.000411,7.653846,7.721065,0.000497,467.373121,209.045230,207.225299
tri3_texfunc_grey_param_sinusoidal,tri3,texfunc_grey,sinusoidal,2.000000,2.000000,1600000.000000,1600000.000000,4.362240,7.842598,0.000361,12.066812,12.136567,0.000458,204.014027,132.595088,131.832997
tri3_texfunc_grey_uv_sinusoidal,tri3,texfunc_grey,sinusoidal,2.000000,2.000000,1600000.000000,1600000.000000,4.057636,9.020528,0.000381,13.180480,13.255765,0.000493,177.373209,121.391634,120.702200
tri3_texfunc_rgb_param_constant,tri3,texfunc_rgb,constant,2.000000,2.000000,1600000.000000,1600000.000000,12.067134,6.105304,0.000380,18.159624,18.274805,0.000166,262.067212,88.107551,87.552234
tri3_texfunc_rgb_uv_constant,tri3,texfunc_rgb,constant,2.000000,2.000000,1600000.000000,1600000.000000,12.283098,6.014099,0.000431,18.464538,18.543490,0.000163,266.041513,86.652588,86.283650
tri3_texfunc_rgb_param_sinusoidal,tri3,texfunc_rgb,sinusoidal,2.000000,2.000000,1600000.000000,1600000.000000,12.303769,13.663366,0.000331,25.976661,26.048961,0.000163,117.101452,61.593751,61.422795
tri3_texfunc_rgb_uv_sinusoidal,tri3,texfunc_rgb,sinusoidal,2.000000,2.000000,1600000.000000,1600000.000000,12.208284,15.308123,0.000371,27.752220,27.830240,0.000164,104.519672,57.653045,57.491419
tri6_nodal_grey,tri6,nodal_grey,nodal,2.000000,2.000000,1600000.000000,1600000.000000,4.016316,9.966253,0.000370,14.006135,14.088241,0.000498,160.541780,114.235655,113.569891
tri6_nodal_rgb,tri6,nodal_rgb,nodal,2.000000,2.000000,1600000.000000,1600000.000000,11.919090,11.515395,0.000411,23.888204,23.959372,0.000168,138.944430,66.978664,66.779714
tri6_tex8_grey_linear_direct,tri6,tex8_grey,linear,2.000000,2.000000,1600000.000000,1600000.000000,4.004163,12.010736,0.000531,16.037323,16.107125,0.000499,133.214151,99.767274,99.334922
tri6_tex8_grey_cubic_catmull_rom_direct,tri6,tex8_grey,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,4.032406,16.126062,0.000411,20.250844,20.318756,0.000496,99.218272,79.009053,78.744978
tri6_tex8_grey_cubic_catmull_rom_lut_lerp,tri6,tex8_grey,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,4.052105,16.462838,0.000421,20.687655,20.755424,0.000494,97.188589,77.340810,77.088283
tri6_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri6,tex8_grey,cubic_mitchell_netravali,2.000000,2.000000,1600000.000000,1600000.000000,4.034320,16.348399,0.000391,20.495887,20.563556,0.000496,97.868911,78.064443,77.807554
tri6_tex8_grey_lanczos3_lut_lerp,tri6,tex8_grey,lanczos3,2.000000,2.000000,1600000.000000,1600000.000000,4.049911,19.315601,0.000361,23.568100,23.631473,0.000494,82.834596,67.888375,67.706317
tri6_tex8_grey_cubic_bspline_lut_lerp,tri6,tex8_grey,cubic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,4.051893,16.402542,0.000451,20.489615,20.567103,0.000494,97.545856,78.088339,77.794136
tri6_tex8_grey_quintic_bspline_direct,tri6,tex8_grey,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,4.047175,23.557210,0.000421,27.706771,27.777999,0.000494,67.919758,57.747617,57.599541
tri6_tex8_grey_quintic_bspline_lut_lerp,tri6,tex8_grey,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,4.117541,19.475348,0.000391,23.627135,23.702248,0.000486,82.155143,67.718748,67.504146
tri6_tex8_rgb_linear_direct,tri6,tex8_rgb,linear,2.000000,2.000000,1600000.000000,1600000.000000,12.506155,14.374751,0.000421,27.034010,27.108534,0.000160,111.306276,59.184708,59.022004
tri6_tex8_rgb_cubic_catmull_rom_direct,tri6,tex8_rgb,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,12.068515,20.351590,0.000411,32.660418,32.736162,0.000166,78.617936,48.988963,48.875613
tri6_tex8_rgb_cubic_catmull_rom_lut_lerp,tri6,tex8_rgb,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,13.188665,20.465107,0.000471,33.588176,33.653011,0.000152,78.181854,47.635811,47.544037
tri6_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri6,tex8_rgb,cubic_mitchell_netravali,2.000000,2.000000,1600000.000000,1600000.000000,13.074476,20.550431,0.000451,33.454781,33.535064,0.000153,77.857248,47.825750,47.711255
tri6_tex8_rgb_lanczos3_lut_lerp,tri6,tex8_rgb,lanczos3,2.000000,2.000000,1600000.000000,1600000.000000,12.009863,27.855046,0.000491,40.095742,40.191387,0.000167,57.440221,39.904487,39.809524
tri6_tex8_rgb_cubic_bspline_lut_lerp,tri6,tex8_rgb,cubic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,12.092884,20.502629,0.000441,32.879627,32.967185,0.000165,78.038772,48.662353,48.533110
tri6_tex8_rgb_quintic_bspline_direct,tri6,tex8_rgb,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,12.388721,32.174183,0.000451,44.486859,44.561251,0.000161,49.729312,35.965677,35.905635
tri6_tex8_rgb_quintic_bspline_lut_lerp,tri6,tex8_rgb,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,12.277466,27.912236,0.000410,40.190032,40.282010,0.000163,57.322531,39.810867,39.719964
tri6_texfunc_grey_param_constant,tri6,texfunc_grey,constant,2.000000,2.000000,1600000.000000,1600000.000000,3.998982,10.348305,0.000371,14.390883,14.460164,0.000500,154.614693,111.181503,110.648814
tri6_texfunc_grey_uv_constant,tri6,texfunc_grey,constant,2.000000,2.000000,1600000.000000,1600000.000000,4.017077,10.702004,0.000370,14.868458,14.937781,0.000498,149.504710,107.610352,107.110956
tri6_texfunc_grey_param_sinusoidal,tri6,texfunc_grey,sinusoidal,2.000000,2.000000,1600000.000000,1600000.000000,4.054299,15.141603,0.000361,19.293549,19.363944,0.000493,105.669129,82.929273,82.627795
tri6_texfunc_grey_uv_sinusoidal,tri6,texfunc_grey,sinusoidal,2.000000,2.000000,1600000.000000,1600000.000000,4.055762,16.227866,0.000361,20.448604,20.519722,0.000493,98.595835,78.244950,77.973766
tri6_texfunc_rgb_param_constant,tri6,texfunc_rgb,constant,2.000000,2.000000,1600000.000000,1600000.000000,12.268790,13.087832,0.000461,25.406848,25.476912,0.000163,122.250958,62.975147,62.801960
tri6_texfunc_rgb_uv_constant,tri6,texfunc_rgb,constant,2.000000,2.000000,1600000.000000,1600000.000000,12.359323,13.090217,0.000471,25.455171,25.534143,0.000162,122.228684,62.855598,62.661198
