Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,204800.000000,204800.000000,1600000.000000,1664000.000000,25.185879,17.211761,0.001102,42.398742,45.803099,8.131541,92.959692,37.736969,34.932134
tri3_nodal_rgb,tri3,nodal_rgb,nodal,204800.000000,204800.000000,1600000.000000,1664000.000000,38.546505,25.111152,0.000471,63.658128,67.482488,5.313063,63.716710,25.134261,23.709855
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,204800.000000,204800.000000,1600000.000000,1664000.000000,25.545800,34.405591,0.000571,59.951962,69.062138,8.016973,46.504070,26.688034,23.167542
tri3_tex8_grey_cubic_catmull_rom_direct,tri3,tex8_grey,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,26.048490,51.144678,0.000491,77.193659,87.380074,7.862260,31.283802,20.727091,18.310811
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,26.431478,51.810039,0.000330,78.241847,87.542317,7.748337,30.882046,20.449415,18.276875
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,204800.000000,204800.000000,1600000.000000,1664000.000000,25.887843,51.648601,0.000791,77.537235,86.859468,7.911049,30.978574,20.635247,18.420560
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,204800.000000,204800.000000,1600000.000000,1664000.000000,25.849848,63.045628,0.000531,88.896007,99.135601,7.922677,25.378445,17.998559,16.139510
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,26.260549,51.584565,0.000451,77.845565,87.841506,7.798771,31.017030,20.553515,18.214624
tri3_tex8_grey_quintic_bspline_direct,tri3,tex8_grey,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,25.855251,81.014422,0.000612,106.870285,116.598468,7.921022,19.749570,14.971421,13.722307
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,26.155438,63.518109,0.001172,89.674719,98.998390,7.830112,25.189667,17.842264,16.161879
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,204800.000000,204800.000000,1600000.000000,1664000.000000,34.779051,44.957902,0.000391,79.737344,89.516643,5.888602,35.588849,20.065880,17.873771
tri3_tex8_rgb_cubic_catmull_rom_direct,tri3,tex8_rgb,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,33.828117,73.698756,0.000551,107.527424,117.068912,6.054135,21.710000,14.879925,13.667164
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,33.692922,70.041196,0.000701,103.734819,113.373503,6.078428,22.843699,15.423944,14.112645
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,204800.000000,204800.000000,1600000.000000,1664000.000000,34.344345,71.350808,0.001303,105.696456,115.328164,5.963136,22.424413,15.137688,13.873454
tri3_tex8_rgb_lanczos3_lut_lerp,tri3,tex8_rgb,lanczos3,204800.000000,204800.000000,1600000.000000,1664000.000000,34.262463,99.513588,0.000752,133.776803,143.602135,5.977387,16.078206,11.960220,11.141896
tri3_tex8_rgb_cubic_bspline_lut_lerp,tri3,tex8_rgb,cubic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,34.277106,70.969831,0.000542,105.247479,114.590737,5.974833,22.544791,15.202264,13.962734
tri3_tex8_rgb_quintic_bspline_direct,tri3,tex8_rgb,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,34.415987,117.777728,0.000480,152.194195,161.977616,5.950723,13.584911,10.512885,9.877908
tri3_tex8_rgb_quintic_bspline_lut_lerp,tri3,tex8_rgb,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,33.610607,99.935517,0.000561,133.546685,142.766774,6.093315,16.010324,11.980829,11.207089
tri3_texfunc_grey_param_constant,tri3,texfunc_grey,constant,204800.000000,204800.000000,1600000.000000,1664000.000000,21.373024,19.741191,0.000460,41.114675,44.059706,9.582172,81.048808,38.915545,36.314359
tri3_texfunc_grey_uv_constant,tri3,texfunc_grey,constant,204800.000000,204800.000000,1600000.000000,1664000.000000,25.663904,20.067098,0.000831,45.731833,55.188839,7.980080,79.732505,34.986571,28.991369
tri3_texfunc_grey_param_sinusoidal,tri3,texfunc_grey,sinusoidal,204800.000000,204800.000000,1600000.000000,1664000.000000,21.300300,39.683273,0.000531,60.984104,63.871734,9.614888,40.319255,26.236345,25.050205
tri3_texfunc_grey_uv_sinusoidal,tri3,texfunc_grey,sinusoidal,204800.000000,204800.000000,1600000.000000,1664000.000000,25.171287,45.736596,0.001402,70.909285,81.007949,8.136255,34.982927,22.564041,19.751148
tri3_texfunc_rgb_param_constant,tri3,texfunc_rgb,constant,204800.000000,204800.000000,1600000.000000,1664000.000000,29.670128,31.464455,0.000622,61.135205,64.183785,6.902565,50.851032,26.171500,24.928415
tri3_texfunc_rgb_uv_constant,tri3,texfunc_rgb,constant,204800.000000,204800.000000,1600000.000000,1664000.000000,34.043876,32.707243,0.000501,66.751620,83.720004,6.015766,48.918828,23.969456,19.111323
tri3_texfunc_rgb_param_sinusoidal,tri3,texfunc_rgb,sinusoidal,204800.000000,204800.000000,1600000.000000,1664000.000000,30.054535,63.573784,0.000501,93.628820,96.509145,6.814279,25.167607,17.088755,16.578740
tri3_texfunc_rgb_uv_sinusoidal,tri3,texfunc_rgb,sinusoidal,204800.000000,204800.000000,1600000.000000,1664000.000000,33.622214,71.414263,0.000642,105.037119,114.381751,6.091211,22.404488,15.232710,13.988245
tri6_nodal_grey,tri6,nodal_grey,nodal,204800.000000,204800.000000,1600000.000000,1664000.000000,64.652027,102.309910,0.000451,166.962388,175.834838,3.167727,15.638759,9.582997,9.099448
tri6_nodal_rgb,tri6,nodal_rgb,nodal,204800.000000,204800.000000,1600000.000000,1664000.000000,87.595446,113.135135,0.000491,200.731072,212.435970,2.338021,14.142379,7.970864,7.531681
tri6_tex8_grey_linear_direct,tri6,tex8_grey,linear,204800.000000,204800.000000,1600000.000000,1664000.000000,68.444923,118.796663,0.000511,187.242097,208.792415,2.992187,13.468392,8.545087,7.663114
tri6_tex8_grey_cubic_catmull_rom_direct,tri6,tex8_grey,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,69.022313,135.127321,0.000611,204.150245,226.258355,2.967156,11.840685,7.837365,7.071562
