Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.847560,1.188551,17.738359,0.908175,1.625530,0.854805,1.202848,0.916498,1.652390
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,1.755214,1.338288,8.146640,1.559561,1.753658,1.786572,1.356441,1.535613,1.723434
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,0.000000,0.000000,0.000000,0.000000,0.658671,0.946767,7.317073,0.831893,0.742924,0.663038,0.955816,0.838871,0.748485
tri3_tex8_grey_cubic_catmull_rom_direct,tri3,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,1.523061,1.343520,19.464720,1.494798,1.981130,1.546617,1.361817,1.517481,2.021172
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,1.724594,0.412913,13.182674,1.509856,1.788448,1.754858,0.414625,1.533002,1.783642
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,2.309976,0.912148,5.236908,1.702166,1.894133,2.364597,0.920545,1.731641,1.858923
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,0.000000,0.000000,0.000000,0.000000,1.470313,0.603484,15.655577,0.770159,0.720754,1.492254,0.599863,0.776136,0.725986
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.644610,0.940680,15.074310,1.092338,1.102915,0.648792,0.949612,1.104402,1.115215
tri3_tex8_grey_quintic_bspline_direct,tri3,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,1.318197,0.826864,20.716113,1.269668,1.356209,1.335806,0.833758,1.285996,1.374855
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,1.948047,0.671110,11.337868,1.334829,1.168263,1.986750,0.675644,1.352888,1.182073
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,0.000000,0.000000,0.000000,0.000000,0.760434,1.349765,11.876485,1.400369,1.575626,0.766261,1.368233,1.420257,1.600849
tri3_tex8_rgb_cubic_catmull_rom_direct,tri3,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.701433,0.655597,11.564626,0.559017,0.708598,0.706388,0.659924,0.562160,0.713655
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,1.130936,0.765102,21.897810,0.751616,0.935347,1.143872,0.759293,0.757308,0.944179
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,1.034060,1.711316,7.142857,1.937685,1.953337,1.044864,1.732322,1.975973,1.992252
