Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.269919,0.126613,0.000130,0.401841,0.435846,0.448289,8.658776,2.533148,1.852297
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.499739,0.119179,0.000090,0.416229,0.374118,0.235517,4.129719,0.826693,0.577405
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,0.000000,0.000000,0.000000,0.000000,0.469332,0.472508,0.000100,0.658555,0.687520,0.640992,8.307011,2.255078,1.163246
tri3_tex8_grey_cubic_catmull_rom_direct,tri3,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.375721,0.425226,0.000171,0.611064,0.555124,0.574833,3.483539,1.470824,0.713704
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.388035,0.256151,0.000090,0.462808,0.368026,0.623062,2.159646,1.168371,0.493632
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.424144,0.374078,0.000081,0.566746,0.373497,0.603666,3.118706,1.394081,0.491827
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,0.000000,0.000000,0.000000,0.000000,0.651550,0.291088,0.000100,0.433322,0.663393,0.974014,1.615663,0.807390,0.718348
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.953770,0.417470,0.000050,1.500840,1.661417,1.227121,3.412395,3.185760,2.076659
tri3_tex8_grey_quintic_bspline_direct,tri3,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.612235,0.514277,0.000090,0.877645,1.189643,0.886363,1.657562,1.267050,1.037341
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.626733,0.169977,0.000141,0.605111,0.929914,0.915597,0.950085,1.160877,0.990184
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,0.000000,0.000000,0.000000,0.000000,0.300667,0.304685,0.000100,0.476245,0.699382,0.155925,2.961586,0.716266,0.633491
tri3_tex8_rgb_cubic_catmull_rom_direct,tri3,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.507534,0.380149,0.000091,0.347306,0.717736,0.239668,1.672549,0.355861,0.484896
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.842076,0.720582,0.000011,1.743527,2.134005,0.440775,3.565081,1.982181,1.425677
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.319422,0.728889,0.000030,1.147703,1.740019,0.167213,3.456699,1.312285,1.276231
