Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,204800.000000,204800.000000,1600000.000000,1664000.000000,11.240367,4.900663,0.000491,16.133694,19.370034,18.220046,326.486437,99.171337,82.601817
tri3_nodal_rgb,tri3,nodal_rgb,nodal,204800.000000,204800.000000,1600000.000000,1664000.000000,21.097518,6.834643,0.000451,28.175378,32.011137,9.707303,234.101474,56.787171,49.982604
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,204800.000000,204800.000000,1600000.000000,1664000.000000,12.069987,9.779043,0.000421,21.947781,31.097224,16.967707,163.615192,72.900308,51.451538
tri3_tex8_grey_cubic_catmull_rom_direct,tri3,tex8_grey,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,11.759212,13.835115,0.000551,25.478653,35.000874,17.416133,115.647756,62.797668,45.713144
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,11.489344,13.904468,0.000541,25.407498,34.722530,17.825213,115.070925,62.973536,46.079592
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,204800.000000,204800.000000,1600000.000000,1664000.000000,11.785442,14.041621,0.000441,25.789059,35.044838,17.377371,113.946958,62.041814,45.655797
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,204800.000000,204800.000000,1600000.000000,1664000.000000,12.034900,17.124565,0.000501,29.087928,38.772660,17.017175,93.433030,55.005637,41.266191
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,12.364483,14.201106,0.000381,26.714785,36.618406,16.563572,112.667281,59.891929,43.693874
tri3_tex8_grey_quintic_bspline_direct,tri3,tex8_grey,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,11.642447,22.134328,0.000561,33.725667,43.434815,17.590804,72.285908,47.441612,36.836809
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,11.910612,16.834188,0.000511,28.780177,38.301366,17.194750,95.044679,55.593821,41.773967
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,204800.000000,204800.000000,1600000.000000,1664000.000000,20.023277,12.678465,0.000491,32.855547,42.379931,10.228096,126.198242,48.698017,37.753719
tri3_tex8_rgb_cubic_catmull_rom_direct,tri3,tex8_rgb,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,20.573142,18.880735,0.000410,39.690331,49.025360,9.954726,84.742464,40.312085,32.636170
