Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,204800.000000,204800.000000,1600000.000000,1664000.000000,10.182988,4.739764,0.000171,14.923113,17.939009,16.042772,273.641422,85.959702,58.050769
tri3_nodal_rgb,tri3,nodal_rgb,nodal,204800.000000,204800.000000,1600000.000000,1664000.000000,19.558736,6.685277,0.000271,27.305068,31.130647,8.365093,185.775323,48.344696,43.174452
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,204800.000000,204800.000000,1600000.000000,1664000.000000,10.824748,9.218727,0.000260,20.081037,29.652963,15.349644,136.618438,65.451210,44.972016
tri3_tex8_grey_cubic_catmull_rom_direct,tri3,tex8_grey,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,10.906045,13.335536,0.000321,24.337945,33.796884,15.090225,106.139775,57.292509,43.152414
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,10.581914,13.561560,0.000371,24.367983,33.769532,15.501873,106.402639,57.542533,42.972290
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,204800.000000,204800.000000,1600000.000000,1664000.000000,10.649983,13.522464,0.000190,24.669101,33.913478,15.638702,106.637107,57.910965,41.760345
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,204800.000000,204800.000000,1600000.000000,1664000.000000,10.601770,16.622813,0.000161,27.706027,36.672801,15.597317,82.679353,49.580850,38.316638
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,10.818987,13.453121,0.000160,24.602933,33.729174,14.000887,84.681440,50.488889,37.322624
tri3_tex8_grey_quintic_bspline_direct,tri3,tex8_grey,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,10.533109,21.263748,0.000351,32.106941,41.470767,15.047778,60.579319,40.241394,32.060730
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,10.553007,16.555023,0.000200,27.232350,36.970412,14.716459,87.414125,52.237348,38.957394
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,204800.000000,204800.000000,1600000.000000,1664000.000000,19.095506,11.891996,0.000180,31.752429,40.861517,9.500372,105.626374,43.695666,34.594853
tri3_tex8_rgb_cubic_catmull_rom_direct,tri3,tex8_rgb,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,18.871518,18.206261,0.000180,37.567359,47.107321,9.174427,68.713333,36.427907,29.259359
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,18.011497,17.535884,0.000311,35.713291,44.528634,9.517385,67.527242,35.574091,28.680546
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,204800.000000,204800.000000,1600000.000000,1664000.000000,18.141406,17.888291,0.000361,36.306218,45.050625,9.777450,56.319712,32.417660,27.444294
tri3_tex8_rgb_lanczos3_lut_lerp,tri3,tex8_rgb,lanczos3,204800.000000,204800.000000,1600000.000000,1664000.000000,18.068948,25.114014,0.000281,43.231025,51.982204,9.141444,54.412282,31.840725,25.887113
tri3_tex8_rgb_cubic_bspline_lut_lerp,tri3,tex8_rgb,cubic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,18.229825,17.637059,0.000250,36.020309,44.772300,8.710783,75.455347,37.270770,30.687429
tri3_tex8_rgb_quintic_bspline_direct,tri3,tex8_rgb,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,18.176874,29.492435,0.000321,47.991275,56.822319,9.467594,48.519874,30.335588,25.685331
tri3_tex8_rgb_quintic_bspline_lut_lerp,tri3,tex8_rgb,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,18.456781,25.174079,0.000320,43.952868,52.612934,9.470503,54.922643,32.906686,26.216760
tri3_texfunc_grey_param_constant,tri3,texfunc_grey,constant,204800.000000,204800.000000,1600000.000000,1664000.000000,9.165966,4.892646,0.000330,14.119160,16.933388,16.902826,294.912991,92.718530,79.388167
tri3_texfunc_grey_uv_constant,tri3,texfunc_grey,constant,204800.000000,204800.000000,1600000.000000,1664000.000000,10.133522,5.204725,0.000381,15.384506,23.984467,15.156658,266.240682,84.411305,47.792392
tri3_texfunc_grey_param_sinusoidal,tri3,texfunc_grey,sinusoidal,204800.000000,204800.000000,1600000.000000,1664000.000000,9.210441,9.969527,0.000261,19.228522,21.955073,16.524701,135.955704,69.387823,61.768006
tri3_texfunc_grey_uv_sinusoidal,tri3,texfunc_grey,sinusoidal,204800.000000,204800.000000,1600000.000000,1664000.000000,10.287587,11.424379,0.000291,21.712517,30.450823,14.031603,117.042329,60.219001,45.272725
tri3_texfunc_rgb_param_constant,tri3,texfunc_rgb,constant,204800.000000,204800.000000,1600000.000000,1664000.000000,16.919331,8.042500,0.000281,24.997519,27.821058,9.757455,183.128340,54.353034,42.974430
tri3_texfunc_rgb_uv_constant,tri3,texfunc_rgb,constant,204800.000000,204800.000000,1600000.000000,1664000.000000,18.149441,8.226853,0.000341,26.490614,35.233920,9.092028,151.251807,50.106092,38.873685
