Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.307093,8.972334,0.000441,13.279868,13.387785,0.940309,178.325952,120.483125,119.511928
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.106698,8.750437,0.000461,12.857596,12.956828,0.986194,182.848011,124.440059,123.487014
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.334125,9.238635,0.000361,13.573121,13.682902,0.934445,173.185757,117.880037,116.934259
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.342701,9.260748,0.000311,13.603760,13.722027,0.932599,172.772221,117.614542,116.600849
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.078094,8.776909,0.000331,12.855334,12.958681,0.993111,182.296524,124.461955,123.469356
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.427754,9.254315,0.000410,13.682479,13.798695,0.914685,172.892321,116.937874,115.952994
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,12.317419,12.516982,0.000261,24.834662,24.947007,0.328803,127.826340,64.426083,64.135950
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.868486,11.847386,0.000511,23.716383,23.834852,0.341240,135.050888,67.463913,67.128590
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.845453,11.874678,0.000451,23.720582,23.836444,0.341903,134.740496,67.451971,67.124106
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.801048,11.878275,0.000280,23.679603,23.794474,0.343190,134.699693,67.568700,67.242503
