Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,1.879765,1.475563,24.937656,1.633512,1.688003,1.915777,1.497662,1.607257,1.659982
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,1.366981,1.747561,13.783784,1.718638,1.893598,1.348546,1.778644,1.748692,1.930147
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,1.937456,0.526165,18.157895,0.681821,0.674598,1.975735,0.528948,0.677204,0.679180
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,1.738029,1.594462,19.166667,1.644871,1.633979,1.708338,1.620297,1.672379,1.661121
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,1.574762,0.872128,15.748031,1.206394,1.166573,1.599957,0.879801,1.221125,1.173526
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,1.748110,2.021359,13.477089,2.028475,1.937104,1.779213,2.063061,2.070474,1.975369
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.792318,0.350790,18.409091,0.830556,0.877084,0.786090,0.352025,0.837512,0.884845
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.842266,0.758642,21.621622,0.926183,0.909064,0.835232,0.764442,0.934841,0.917403
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.896156,0.706609,20.000000,0.796131,0.745946,0.899563,0.711638,0.802520,0.751552
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,1.362716,0.658689,14.962594,1.164440,1.134709,1.381543,0.663056,1.178158,1.147732
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,1.266993,0.603722,15.250000,0.894232,0.892249,1.251141,0.607389,0.889610,0.884358
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,1.262391,0.651805,14.662757,0.969066,0.972217,1.246653,0.656081,0.978549,0.981762
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,0.000000,0.000000,0.000000,0.000000,0.961238,1.168281,18.648649,1.060816,1.044743,0.970567,1.154790,1.072190,1.055773
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.978244,1.001579,21.832884,0.870213,0.894681,0.987908,1.011712,0.877853,0.902758
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,1.677159,0.973362,18.867925,0.851462,0.847912,1.660884,0.982929,0.844273,0.855163
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,0.000000,0.000000,0.000000,0.000000,1.734081,1.044897,22.820513,2.224245,2.263438,1.764682,1.055930,2.274843,2.315856
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.886591,0.941997,15.748031,0.958356,0.928671,0.894522,0.950955,0.967629,0.937376
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.573995,0.714847,15.345269,0.710241,0.713058,0.570720,0.719994,0.715322,0.718179
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,0.000000,0.000000,0.000000,0.000000,0.939764,0.535037,12.165450,0.770266,0.789749,0.948679,0.532190,0.776246,0.796036
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.501060,0.801352,13.525499,0.672802,0.672638,0.503583,0.807825,0.677360,0.677193
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.918684,0.394829,17.456359,0.402498,0.408955,0.927202,0.396394,0.404125,0.410635
tri3_tex8_rgb_lanczos3_lut_lerp,tri3,tex8_rgb,lanczos3,0.000000,0.000000,0.000000,0.000000,1.188635,1.278465,13.015184,1.318006,1.327446,1.174672,1.262326,1.335610,1.345304
tri3_tex8_rgb_cubic_bspline_lut_lerp,tri3,tex8_rgb,cubic_bspline,0.000000,0.000000,0.000000,0.000000,1.500898,1.152068,27.931034,1.074027,1.141580,1.523768,1.165495,1.079908,1.128695
tri3_tex8_rgb_quintic_bspline_lut_lerp,tri3,tex8_rgb,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.692763,0.344063,14.256619,0.463479,0.471877,0.697595,0.345251,0.465637,0.474114
tri3_texfunc_grey_param_constant,tri3,texfunc_grey,constant,0.000000,0.000000,0.000000,0.000000,1.302085,1.159592,13.921114,1.091958,1.065355,1.285349,1.146300,1.104013,1.076827
tri3_texfunc_grey_uv_constant,tri3,texfunc_grey,constant,0.000000,0.000000,0.000000,0.000000,0.732524,0.652870,15.345269,0.367742,0.407494,0.727197,0.648636,0.366394,0.405840
tri3_texfunc_grey_param_sinusoidal,tri3,texfunc_grey,sinusoidal,0.000000,0.000000,0.000000,0.000000,1.477121,0.467509,19.750000,0.547913,0.525274,1.499267,0.469705,0.550932,0.522529
tri3_texfunc_grey_uv_sinusoidal,tri3,texfunc_grey,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.806891,1.471860,25.187032,1.330745,1.312039,0.812897,1.450511,1.324795,1.329483
tri3_texfunc_rgb_param_constant,tri3,texfunc_rgb,constant,0.000000,0.000000,0.000000,0.000000,0.573790,0.614584,24.324324,0.539166,0.559092,0.577101,0.618385,0.537386,0.555983
tri3_texfunc_rgb_uv_constant,tri3,texfunc_rgb,constant,0.000000,0.000000,0.000000,0.000000,0.371233,0.991735,14.285714,0.618227,0.606857,0.369860,1.001669,0.614428,0.603196
tri3_texfunc_rgb_param_sinusoidal,tri3,texfunc_rgb,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.708038,0.218064,27.842227,0.315131,0.303347,0.703060,0.218540,0.316127,0.304270
tri3_texfunc_rgb_uv_sinusoidal,tri3,texfunc_rgb,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.680331,0.495665,17.353579,0.443934,0.443217,0.675734,0.498134,0.445913,0.445190
tri6_nodal_grey,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.460873,0.526458,12.165450,0.563831,0.539639,0.463007,0.529244,0.567028,0.542567
tri6_nodal_grey,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.524064,1.627282,15.345269,1.680861,1.668890,0.526825,1.654200,1.699892,1.697214
tri6_nodal_grey,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,1.137935,0.877925,20.250000,0.923939,0.906834,1.151033,0.885701,0.932555,0.915132
tri6_nodal_grey,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.462304,0.897730,21.259843,0.864017,0.848412,0.460176,0.895434,0.871548,0.855672
tri6_nodal_grey,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.344195,0.801568,19.950125,0.781991,0.777205,0.345384,0.808045,0.788154,0.783293
tri6_nodal_grey,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.545635,0.376011,22.443890,0.471621,0.424324,0.548628,0.377431,0.473856,0.426132
tri6_nodal_rgb,tri6,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.731736,0.807052,17.352941,0.937358,1.109613,0.737130,0.800591,0.946228,1.122063
tri6_nodal_rgb,tri6,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.615625,0.965957,12.408759,0.878970,0.896948,0.619438,0.975378,0.886765,0.905066
tri6_nodal_rgb,tri6,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.639754,0.845495,12.468828,1.282959,1.275129,0.635687,0.852704,1.299633,1.291599
tri6_nodal_rgb,tri6,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.550072,0.734762,20.460358,0.861696,0.847052,0.547063,0.740201,0.869186,0.854288
tri6_nodal_rgb,tri6,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.836990,0.652940,13.303769,0.773695,0.819584,0.844054,0.657232,0.779728,0.826357
tri6_nodal_rgb,tri6,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.490210,1.003241,22.820513,0.928737,0.932756,0.492625,1.013407,0.937444,0.941538
tri6_tex8_grey_linear_direct,tri6,tex8_grey,linear,0.000000,0.000000,0.000000,0.000000,0.621802,0.960612,7.481297,0.849449,0.859804,0.617959,0.969929,0.856726,0.867261
tri6_tex8_grey_cubic_catmull_rom_lut_lerp,tri6,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.309363,0.777645,10.230179,0.853066,0.832916,0.310323,0.771644,0.845850,0.826035
tri6_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri6,tex8_grey,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.564945,1.087278,20.997375,0.977412,0.996047,0.568155,1.099230,0.987060,1.006068
tri6_tex8_grey_lanczos3_lut_lerp,tri6,tex8_grey,lanczos3,0.000000,0.000000,0.000000,0.000000,0.602464,0.672109,14.598540,0.686348,0.688181,0.606116,0.676657,0.691092,0.692950
tri6_tex8_grey_cubic_bspline_lut_lerp,tri6,tex8_grey,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.609171,0.864849,18.372703,1.169335,1.375415,0.612905,0.872394,1.183170,1.391278
tri6_tex8_grey_quintic_bspline_lut_lerp,tri6,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.343743,0.762159,20.460358,0.860784,0.779635,0.344929,0.756394,0.863074,0.785761
tri6_tex8_rgb_linear_direct,tri6,tex8_rgb,linear,0.000000,0.000000,0.000000,0.000000,0.689570,0.644917,16.611296,0.625133,0.648604,0.694358,0.649103,0.629066,0.652839
tri6_tex8_rgb_cubic_catmull_rom_lut_lerp,tri6,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.795361,1.062091,7.611549,1.051309,1.069047,0.801738,1.073493,1.062479,1.080599
tri6_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri6,tex8_rgb,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.765744,1.715891,12.165450,1.458725,1.412876,0.771653,1.742467,1.480319,1.433124
tri6_tex8_rgb_lanczos3_lut_lerp,tri6,tex8_rgb,lanczos3,0.000000,0.000000,0.000000,0.000000,0.716136,1.395901,15.184382,1.194934,1.197340,0.721301,1.415662,1.209385,1.211850
tri6_tex8_rgb_cubic_bspline_lut_lerp,tri6,tex8_rgb,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.609889,0.593098,10.230179,0.935641,0.929334,0.613631,0.596637,0.944478,0.938051
tri6_tex8_rgb_quintic_bspline_lut_lerp,tri6,tex8_rgb,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.876773,1.362122,18.561485,1.209653,1.211329,0.884529,1.380932,1.224465,1.226182
tri6_texfunc_grey_param_constant,tri6,texfunc_grey,constant,0.000000,0.000000,0.000000,0.000000,0.727558,0.862655,22.443890,0.831964,0.829754,0.732890,0.855277,0.838944,0.836697
tri6_texfunc_grey_uv_constant,tri6,texfunc_grey,constant,0.000000,0.000000,0.000000,0.000000,1.201128,0.470759,19.390582,0.487410,0.475601,1.215731,0.472986,0.489797,0.477873
tri6_texfunc_grey_param_sinusoidal,tri6,texfunc_grey,sinusoidal,0.000000,0.000000,0.000000,0.000000,1.145506,0.980404,19.950125,0.961577,0.974824,1.158780,0.970886,0.970913,0.984420
tri6_texfunc_grey_uv_sinusoidal,tri6,texfunc_grey,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.454987,0.808140,20.460358,0.693476,0.674469,0.457067,0.814724,0.698319,0.679049
tri6_texfunc_rgb_param_constant,tri6,texfunc_rgb,constant,0.000000,0.000000,0.000000,0.000000,1.258721,1.558892,26.245847,1.623269,1.627420,1.274767,1.583578,1.650054,1.654343
tri6_texfunc_rgb_uv_constant,tri6,texfunc_rgb,constant,0.000000,0.000000,0.000000,0.000000,0.305260,0.544906,22.443890,0.523419,0.520770,0.306194,0.547891,0.526174,0.523496
tri6_texfunc_rgb_param_sinusoidal,tri6,texfunc_rgb,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.591487,1.026706,17.000000,1.300417,1.308629,0.595006,1.037356,1.317550,1.325981
tri6_texfunc_rgb_uv_sinusoidal,tri6,texfunc_rgb,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.554381,1.140371,14.705882,1.102194,1.096269,0.557472,1.127513,1.114478,1.108420
quad4ibi_nodal_grey,quad4ibi,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.608641,0.943512,10.512129,0.749768,0.946002,0.612368,0.934694,0.744189,0.939594
quad4ibi_nodal_grey,quad4ibi,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.852801,0.563314,17.031630,0.736458,0.726378,0.860136,0.566505,0.741922,0.731693
