Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.077389,0.129027,0.000100,0.209411,0.218088,0.018846,2.740379,2.005988,2.055725
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.056027,0.148414,0.000051,0.216998,0.241413,0.013326,3.350938,2.215961,2.422354
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.079332,0.043954,0.000069,0.084713,0.084492,0.019542,1.013108,0.872087,0.867630
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.071388,0.135047,0.000069,0.206095,0.206415,0.016845,3.060864,2.135597,2.103907
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.064394,0.073260,0.000060,0.150940,0.147161,0.015846,1.675785,1.561583,1.488441
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.071769,0.172059,0.000050,0.256542,0.246963,0.017552,3.877915,2.619394,2.479072
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.092748,0.041489,0.000081,0.195453,0.207548,0.002720,0.476220,0.569426,0.598288
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.098849,0.089443,0.000080,0.218290,0.215352,0.002882,1.037421,0.634630,0.619620
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.104910,0.083470,0.000070,0.187188,0.176317,0.003112,0.963891,0.546113,0.508735
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.159996,0.077720,0.000060,0.274235,0.268674,0.004766,0.899121,0.800420,0.775567
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.149196,0.071266,0.000061,0.210824,0.211435,0.004303,0.823269,0.603740,0.597114
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.148885,0.077228,0.000050,0.229199,0.231122,0.004281,0.885973,0.661977,0.660767
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,0.000000,0.000000,0.000000,0.000000,0.039586,0.183963,0.000069,0.210954,0.209973,0.009545,1.173383,0.862669,0.840497
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.040136,0.244729,0.000081,0.248167,0.257113,0.009752,0.662486,0.492519,0.502615
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.068930,0.235372,0.000070,0.240280,0.241263,0.016367,0.650372,0.478686,0.480872
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,0.000000,0.000000,0.000000,0.000000,0.070877,0.315776,0.000089,0.774826,0.793771,0.017486,0.559049,1.044840,1.056586
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.036430,0.228939,0.000060,0.272522,0.266160,0.008817,0.626051,0.544445,0.523303
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.023435,0.214170,0.000060,0.241854,0.244488,0.005661,0.384506,0.336104,0.335135
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,0.000000,0.000000,0.000000,0.000000,0.110994,0.113558,0.000050,0.254329,0.262613,0.003253,0.401192,0.376153,0.383024
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.058763,0.263685,0.000061,0.300466,0.301949,0.001739,0.392803,0.242679,0.241368
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.107928,0.128566,0.000070,0.178100,0.181958,0.003196,0.194774,0.146129,0.147666
tri3_tex8_rgb_lanczos3_lut_lerp,tri3,tex8_rgb,lanczos3,0.000000,0.000000,0.000000,0.000000,0.139409,0.595201,0.000060,0.769417,0.778192,0.004056,0.433827,0.366062,0.367173
tri3_tex8_rgb_cubic_bspline_lut_lerp,tri3,tex8_rgb,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.177171,0.375740,0.000081,0.479600,0.512382,0.005228,0.571769,0.386939,0.402355
tri3_tex8_rgb_quintic_bspline_lut_lerp,tri3,tex8_rgb,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.081536,0.159776,0.000070,0.269775,0.275829,0.002400,0.118954,0.127996,0.129775
tri3_texfunc_grey_param_constant,tri3,texfunc_grey,constant,0.000000,0.000000,0.000000,0.000000,0.053162,0.111943,0.000060,0.150079,0.147453,0.012750,1.899881,1.285227,1.244821
tri3_texfunc_grey_uv_constant,tri3,texfunc_grey,constant,0.000000,0.000000,0.000000,0.000000,0.030118,0.064595,0.000060,0.051459,0.057901,0.007163,1.048935,0.418938,0.456993
tri3_texfunc_grey_param_sinusoidal,tri3,texfunc_grey,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.060515,0.108187,0.000079,0.149243,0.143607,0.014821,0.324758,0.323620,0.305802
tri3_texfunc_grey_uv_sinusoidal,tri3,texfunc_grey,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.033313,0.300084,0.000101,0.326148,0.324342,0.007974,1.138321,0.864866,0.860491
tri3_texfunc_rgb_param_constant,tri3,texfunc_rgb,constant,0.000000,0.000000,0.000000,0.000000,0.067369,0.090754,0.000090,0.142794,0.148694,0.001991,0.670030,0.324653,0.334481
tri3_texfunc_rgb_uv_constant,tri3,texfunc_rgb,constant,0.000000,0.000000,0.000000,0.000000,0.043663,0.148094,0.000060,0.165047,0.163433,0.001274,1.073254,0.368240,0.358365
tri3_texfunc_rgb_param_sinusoidal,tri3,texfunc_rgb,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.083411,0.082357,0.000120,0.156289,0.150779,0.002417,0.092584,0.101987,0.097944
tri3_texfunc_rgb_uv_sinusoidal,tri3,texfunc_rgb,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.080555,0.161390,0.000080,0.197119,0.197830,0.002311,0.244781,0.160679,0.159584
tri6_nodal_grey,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.022765,0.301578,0.000050,0.351134,0.337236,0.005694,0.147822,0.145680,0.138913
tri6_nodal_grey,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.025940,0.922137,0.000060,1.037489,1.033421,0.006466,0.467063,0.440646,0.438538
tri6_nodal_grey,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.056538,0.502663,0.000081,0.575593,0.566986,0.014074,0.247507,0.239509,0.234185
tri6_nodal_grey,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.022715,0.504016,0.000081,0.527531,0.519846,0.005690,0.255185,0.228395,0.223439
tri6_nodal_grey,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.016903,0.449983,0.000080,0.477778,0.476655,0.004273,0.230303,0.206399,0.204351
tri6_nodal_grey,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.026801,0.210713,0.000090,0.287732,0.259838,0.006785,0.107762,0.124271,0.111342
tri6_nodal_rgb,tri6,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.093299,0.485620,0.000059,0.685635,0.815012,0.003512,0.212881,0.206980,0.244425
tri6_nodal_rgb,tri6,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.078340,0.581414,0.000051,0.642223,0.657721,0.002957,0.259278,0.194186,0.197481
tri6_nodal_rgb,tri6,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.081907,0.507733,0.000050,0.942213,0.939711,0.003016,0.227192,0.283142,0.280419
tri6_nodal_rgb,tri6,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.070504,0.442067,0.000080,0.628615,0.620009,0.002593,0.196847,0.190635,0.186740
tri6_nodal_rgb,tri6,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.107106,0.392643,0.000060,0.564852,0.600701,0.004007,0.174869,0.170883,0.180394
tri6_nodal_rgb,tri6,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.062488,0.603778,0.000089,0.678834,0.684081,0.002348,0.269421,0.205208,0.205408
tri6_tex8_grey_linear_direct,tri6,tex8_grey,linear,0.000000,0.000000,0.000000,0.000000,0.030969,0.612104,0.000030,0.583379,0.595561,0.007538,0.243547,0.199594,0.200328
tri6_tex8_grey_cubic_catmull_rom_lut_lerp,tri6,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.015310,0.594860,0.000040,0.694752,0.683179,0.003809,0.161400,0.166175,0.161133
tri6_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri6,tex8_grey,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.028095,0.836163,0.000080,0.800176,0.821293,0.006940,0.228696,0.192910,0.195222
tri6_tex8_grey_lanczos3_lut_lerp,tri6,tex8_grey,lanczos3,0.000000,0.000000,0.000000,0.000000,0.029957,0.571886,0.000060,0.618305,0.623916,0.007405,0.127238,0.122743,0.122292
tri6_tex8_grey_cubic_bspline_lut_lerp,tri6,tex8_grey,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.030306,0.665084,0.000070,0.960932,1.140737,0.007484,0.181508,0.230363,0.268400
tri6_tex8_grey_quintic_bspline_lut_lerp,tri6,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.017062,0.650706,0.000080,0.777601,0.708737,0.004222,0.141752,0.152864,0.138298
tri6_tex8_rgb_linear_direct,tri6,tex8_rgb,linear,0.000000,0.000000,0.000000,0.000000,0.087399,0.454701,0.000050,0.519585,0.542850,0.003328,0.147303,0.121097,0.124803
tri6_tex8_rgb_cubic_catmull_rom_lut_lerp,tri6,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.100865,0.944269,0.000029,1.069738,1.094107,0.003841,0.193190,0.167068,0.168936
tri6_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri6,tex8_rgb,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.097145,1.522048,0.000050,1.479915,1.441713,0.003695,0.314301,0.233460,0.224713
tri6_tex8_rgb_lanczos3_lut_lerp,tri6,tex8_rgb,lanczos3,0.000000,0.000000,0.000000,0.000000,0.090614,1.534020,0.000070,1.464496,1.474536,0.003463,0.206112,0.157885,0.157446
tri6_tex8_rgb_cubic_bspline_lut_lerp,tri6,tex8_rgb,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.076866,0.518785,0.000040,0.939820,0.938940,0.002958,0.109136,0.150445,0.148553
tri6_tex8_rgb_quintic_bspline_lut_lerp,tri6,tex8_rgb,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.111273,1.490787,0.000080,1.477101,1.486469,0.004234,0.201880,0.160441,0.159875
tri6_texfunc_grey_param_constant,tri6,texfunc_grey,constant,0.000000,0.000000,0.000000,0.000000,0.035548,0.513795,0.000090,0.536568,0.536979,0.009112,0.229760,0.208129,0.206862
tri6_texfunc_grey_uv_constant,tri6,texfunc_grey,constant,0.000000,0.000000,0.000000,0.000000,0.059874,0.282442,0.000070,0.316789,0.311797,0.014816,0.126136,0.120576,0.116628
tri6_texfunc_grey_param_sinusoidal,tri6,texfunc_grey,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.056028,0.770087,0.000080,0.803110,0.816405,0.014393,0.197767,0.185999,0.188071
tri6_texfunc_grey_uv_sinusoidal,tri6,texfunc_grey,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.022684,0.610269,0.000080,0.557949,0.546458,0.005569,0.172622,0.138871,0.134099
tri6_texfunc_rgb_param_constant,tri6,texfunc_rgb,constant,0.000000,0.000000,0.000000,0.000000,0.159495,1.011639,0.000079,1.262951,1.270055,0.006112,0.390436,0.339330,0.339174
tri6_texfunc_rgb_uv_constant,tri6,texfunc_rgb,constant,0.000000,0.000000,0.000000,0.000000,0.038575,0.353638,0.000090,0.405839,0.406820,0.001472,0.135076,0.108579,0.107220
tri6_texfunc_rgb_param_sinusoidal,tri6,texfunc_rgb,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.074362,0.991751,0.000051,1.424548,1.436631,0.002875,0.171827,0.192439,0.193254
tri6_texfunc_rgb_uv_sinusoidal,tri6,texfunc_rgb,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.070335,1.039622,0.000050,1.144291,1.144433,0.002669,0.197885,0.171756,0.169884
quad4ibi_nodal_grey,quad4ibi,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.024987,0.247294,0.000039,0.227257,0.287841,0.003021,0.570589,0.392837,0.494083
quad4ibi_nodal_grey,quad4ibi,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.035188,0.147923,0.000070,0.224151,0.221875,0.004221,0.345174,0.390019,0.383268
quad4ibi_nodal_grey,quad4ibi,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.012623,0.139067,0.000070,0.135979,0.134127,0.001514,0.326473,0.238077,0.233147
quad4ibi_nodal_grey,quad4ibi,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.036711,0.212948,0.000100,0.241724,0.244548,0.004416,0.492698,0.417605,0.419517
quad4ibi_nodal_grey,quad4ibi,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.020610,0.225001,0.000080,0.261501,0.260099,0.002485,0.529423,0.458901,0.453335
quad4ibi_nodal_grey,quad4ibi,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.014047,0.110151,0.000100,0.180708,0.178142,0.001691,0.255976,0.313551,0.306899
quad4ibi_nodal_rgb,quad4ibi,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.121482,0.050477,0.000070,0.080764,0.089612,0.001762,0.080796,0.068587,0.075678
quad4ibi_nodal_rgb,quad4ibi,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.183172,0.096334,0.000080,0.179274,0.177301,0.002644,0.153888,0.151835,0.149344
quad4ibi_nodal_rgb,quad4ibi,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.046719,0.140919,0.000091,0.217457,0.215453,0.000684,0.225514,0.184477,0.181771
quad4ibi_nodal_rgb,quad4ibi,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.056108,0.117747,0.000070,0.197311,0.196897,0.000822,0.187692,0.168183,0.166899
quad4ibi_nodal_rgb,quad4ibi,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.050166,0.089983,0.000090,0.129217,0.126522,0.000732,0.143543,0.109948,0.107048
quad4ibi_nodal_rgb,quad4ibi,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.058632,0.077539,0.000061,0.083061,0.085765,0.000848,0.124065,0.070438,0.072450
quad4ibi_tex8_grey_linear_direct,quad4ibi,tex8_grey,linear,0.000000,0.000000,0.000000,0.000000,0.027343,0.120671,0.000070,0.122986,0.134629,0.003304,0.225950,0.177268,0.191794
quad4ibi_tex8_grey_cubic_catmull_rom_lut_lerp,quad4ibi,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.024668,0.266942,0.000051,0.263506,0.269597,0.002979,0.201572,0.167820,0.172231
quad4ibi_tex8_grey_cubic_mitchell_netravali_lut_lerp,quad4ibi,tex8_grey,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.038044,0.261872,0.000060,0.367806,0.370600,0.004530,0.201765,0.237817,0.237768
quad4ibi_tex8_grey_lanczos3_lut_lerp,quad4ibi,tex8_grey,lanczos3,0.000000,0.000000,0.000000,0.000000,0.026481,0.360792,0.000100,0.418082,0.419645,0.003124,0.202102,0.204393,0.202689
quad4ibi_tex8_grey_cubic_bspline_lut_lerp,quad4ibi,tex8_grey,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.024296,0.306437,0.000070,0.345591,0.323901,0.002898,0.243685,0.230331,0.214141
quad4ibi_tex8_grey_quintic_bspline_lut_lerp,quad4ibi,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.041449,0.819762,0.000090,0.827956,0.821504,0.004976,0.455544,0.387605,0.393043
quad4ibi_tex8_rgb_linear_direct,quad4ibi,tex8_rgb,linear,0.000000,0.000000,0.000000,0.000000,0.104841,0.138445,0.000100,0.325633,0.307590,0.001533,0.183655,0.240477,0.225181
quad4ibi_tex8_rgb_cubic_catmull_rom_lut_lerp,quad4ibi,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.079251,0.322377,0.000070,0.452108,0.462928,0.001153,0.175651,0.166327,0.169262
quad4ibi_tex8_rgb_cubic_mitchell_netravali_lut_lerp,quad4ibi,tex8_rgb,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.168983,0.109390,0.000080,0.331926,0.342948,0.002515,0.059856,0.122988,0.126264
quad4ibi_tex8_rgb_lanczos3_lut_lerp,quad4ibi,tex8_rgb,lanczos3,0.000000,0.000000,0.000000,0.000000,0.119890,0.751932,0.000090,0.739747,0.738164,0.001754,0.268849,0.193030,0.192355
quad4ibi_tex8_rgb_cubic_bspline_lut_lerp,quad4ibi,tex8_rgb,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.071557,0.962124,0.000080,0.964177,0.997953,0.001058,0.532049,0.360695,0.370856
