Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.649380,9.242603,0.003617,13.895600,14.055127,0.995413,184.683483,124.930907,123.958045
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.340718,9.227314,0.000581,13.558062,13.671750,0.997715,183.390821,125.124147,124.131198
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.445540,9.311325,0.001723,13.699335,13.816709,0.952204,177.059957,119.988583,119.019795
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.350807,10.759727,0.000611,15.044757,15.158376,0.998683,183.684226,125.059657,124.098502
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.212081,8.823789,0.000612,12.950987,13.052571,0.999150,183.535806,125.005615,123.990485
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.448684,9.302599,0.000732,13.747738,13.860062,0.948742,174.180107,118.694256,117.811588
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,12.960294,12.576616,0.000641,25.527433,25.643315,0.343023,135.242004,67.679261,67.343483
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,12.471295,12.520890,0.000722,24.961988,25.081956,0.344475,135.050888,67.721743,67.391854
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,12.534665,12.554804,0.001292,25.060744,25.193491,0.344419,136.206229,67.929960,67.580025
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.971996,11.968479,0.000792,23.873726,23.984618,0.344254,135.185567,67.715570,67.394357
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.915386,11.963188,0.000722,23.853687,23.971413,0.344577,135.123563,67.666647,67.338115
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,12.463008,12.480511,0.000612,24.943900,25.070364,0.345377,134.961646,67.679493,67.363256
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,4050.000000,1935.000000,1600000.000000,786712.000000,4.411463,17.772777,0.000682,21.939169,22.183769,0.972160,99.180613,78.512729,77.663569
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,4050.000000,1935.000000,1600000.000000,786712.000000,4.678827,27.557731,0.001032,31.835457,32.070508,0.975030,65.394114,55.823212,55.383637
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,4050.000000,1935.000000,1600000.000000,786712.000000,4.312473,27.306799,0.000632,31.497317,31.728091,0.992151,66.232321,56.582340,56.145481
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,4050.000000,1935.000000,1600000.000000,786712.000000,6.143049,33.706020,0.000821,37.959010,38.197417,0.991236,53.303121,46.838406,46.522167
