Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.116951,8.744258,0.000401,12.819679,12.919882,0.983738,182.977218,124.808117,123.840140
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.098595,8.492637,0.000370,12.626159,12.748904,0.988143,188.398492,126.721040,125.500984
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.094648,8.353660,0.000380,12.424522,12.524785,0.989096,191.532813,128.777590,127.746704
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.107411,8.469752,0.000360,12.529554,12.632661,0.986023,188.907538,127.698081,126.655817
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.089127,8.400139,0.000381,12.511669,12.614818,0.990431,190.473039,127.880621,126.834965
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.105519,8.512044,0.000371,12.647039,12.749084,0.986477,187.968953,126.511826,125.499212
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.705905,11.827298,0.000440,23.532802,23.663403,0.345979,135.280264,67.990204,67.614958
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.736073,11.789877,0.000370,23.568783,23.689432,0.345090,135.709643,67.886407,67.540665
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.706667,11.812750,0.000350,23.512213,23.636711,0.345957,135.446869,68.049741,67.691313
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.740962,11.799195,0.000401,23.550815,23.677790,0.344946,135.602471,67.938201,67.573874
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.775598,11.804434,0.000400,23.575985,23.696857,0.343932,135.542289,67.865669,67.519503
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.793894,11.848328,0.000341,23.651540,23.772672,0.343398,135.040151,67.648872,67.304172
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,4050.000000,1935.000000,1600000.000000,786712.000000,4.118233,15.746469,0.000370,19.886003,20.098060,0.983431,101.610082,80.458602,79.609674
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,4050.000000,1935.000000,1600000.000000,786712.000000,4.102863,24.434310,0.000371,28.517947,28.737959,0.987116,65.481694,56.105020,55.675492
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,4050.000000,1935.000000,1600000.000000,786712.000000,4.109926,24.181346,0.000371,28.219695,28.453774,0.985419,66.166706,56.697991,56.231556
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,4050.000000,1935.000000,1600000.000000,786712.000000,4.087294,30.220781,0.000390,34.835467,35.069263,0.990876,52.943701,45.930201,45.623998
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,4050.000000,1935.000000,1600000.000000,786712.000000,4.108995,24.303580,0.000381,28.436420,28.660309,0.985642,65.833922,56.265873,55.826335
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,4050.000000,1935.000000,1600000.000000,786712.000000,4.082785,29.960261,0.000391,34.052384,34.287264,0.991970,53.404074,46.986431,46.664557
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,4050.000000,1935.000000,1600000.000000,786712.000000,11.810837,21.224328,0.000411,33.018313,33.252711,0.342905,75.385190,48.457957,48.116378
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,4050.000000,1935.000000,1600000.000000,786712.000000,11.727747,32.905025,0.000451,44.658873,44.890276,0.345335,48.624792,35.827147,35.642463
