Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,3.924672,8.320958,0.000290,12.343238,12.446334,0.941696,173.944240,118.521556,117.446278
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,3.942846,8.307341,0.000181,12.294744,12.393834,0.930958,141.049306,102.963197,102.264285
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,3.989106,8.293826,0.000150,12.299173,12.403552,0.948993,179.687133,122.910908,121.849922
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,3.944229,8.319204,0.000231,12.319820,12.417750,0.608950,150.294959,97.254198,96.579860
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,3.961723,8.304286,0.000170,12.305945,12.408932,0.818391,175.209575,114.296262,113.291605
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,3.987332,8.292162,0.000270,12.307879,12.413251,0.904703,147.712533,107.110318,106.291175
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.362898,11.723680,0.000200,23.158936,23.275199,0.288706,121.935058,58.931302,58.632368
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.441438,11.681649,0.000260,23.123378,23.247746,0.284972,105.735196,59.776166,59.458191
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.446277,11.678673,0.000210,23.247827,23.372205,0.333914,111.175245,61.923265,61.626804
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.472437,11.690987,0.000190,23.175127,23.313011,0.288242,110.604672,60.673026,60.379095
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.574013,11.716024,0.000240,23.312361,23.436548,0.273536,116.032097,58.314444,58.040592
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.447359,11.713690,0.000191,23.296378,23.415698,0.293509,128.623350,61.006122,60.730895
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,4050.000000,1935.000000,1600000.000000,786712.000000,4.019334,15.525475,0.000150,19.556472,19.774108,0.935992,84.721912,69.428058,68.743172
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,4050.000000,1935.000000,1600000.000000,786712.000000,3.986140,24.147250,0.000171,28.198154,28.418817,0.950426,57.929066,50.466382,50.100519
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,4050.000000,1935.000000,1600000.000000,786712.000000,3.998082,23.900317,0.000261,27.952182,28.170140,0.898848,58.558946,50.703077,50.309669
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,4050.000000,1935.000000,1600000.000000,786712.000000,3.990088,29.855250,0.000230,33.845729,34.062954,0.642041,48.208395,41.908093,41.655074
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,4050.000000,1935.000000,1600000.000000,786712.000000,3.958086,23.892892,0.000180,27.903599,28.113902,0.707501,61.474970,50.391168,49.993409
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,4050.000000,1935.000000,1600000.000000,786712.000000,4.002120,29.596774,0.000240,33.599355,33.813947,0.945960,49.312315,43.892490,43.628521
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,4050.000000,1935.000000,1600000.000000,786712.000000,11.539206,20.922370,0.000271,32.608948,32.848858,0.331607,69.443634,45.543171,45.215084
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,4050.000000,1935.000000,1600000.000000,786712.000000,11.488429,32.521140,0.000310,44.225683,44.459140,0.270318,46.491993,32.390372,32.236399
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,4050.000000,1935.000000,1600000.000000,786712.000000,11.452149,32.164816,0.000191,43.837387,44.082658,0.302386,47.218808,33.841826,33.667183
tri3_tex8_rgb_lanczos3_lut_lerp,tri3,tex8_rgb,lanczos3,4050.000000,1935.000000,1600000.000000,786712.000000,11.484742,45.888599,0.000331,57.461690,57.700908,0.298856,31.994301,25.963620,25.855417
tri3_tex8_rgb_cubic_bspline_lut_lerp,tri3,tex8_rgb,cubic_bspline,4050.000000,1935.000000,1600000.000000,786712.000000,11.516152,32.223519,0.000170,43.952029,44.195976,0.261666,45.976088,31.822612,31.668587
tri3_tex8_rgb_quintic_bspline_lut_lerp,tri3,tex8_rgb,quintic_bspline,4050.000000,1935.000000,1600000.000000,786712.000000,11.547491,46.003028,0.000360,57.652636,57.889180,0.330564,32.021843,25.936126,25.837053
tri3_texfunc_grey_param_constant,tri3,texfunc_grey,constant,4050.000000,1935.000000,1600000.000000,786712.000000,3.928268,9.218408,0.000160,13.259223,13.357651,0.942495,147.930649,107.571588,103.819001
tri3_texfunc_grey_uv_constant,tri3,texfunc_grey,constant,4050.000000,1935.000000,1600000.000000,786712.000000,3.955852,9.478316,0.000270,13.620335,13.840326,0.935580,134.606124,99.922005,98.506087
tri3_texfunc_grey_param_sinusoidal,tri3,texfunc_grey,sinusoidal,4050.000000,1935.000000,1600000.000000,786712.000000,3.932718,22.646424,0.000180,26.605903,26.715973,0.924103,63.764706,54.518610,54.249138
tri3_texfunc_grey_uv_sinusoidal,tri3,texfunc_grey,sinusoidal,4050.000000,1935.000000,1600000.000000,786712.000000,4.014834,19.888218,0.000251,23.951544,24.164844,0.926607,69.587313,58.470909,57.965674
tri3_texfunc_rgb_param_constant,tri3,texfunc_rgb,constant,4050.000000,1935.000000,1600000.000000,786712.000000,11.538535,14.595374,0.000220,26.134169,26.246243,0.325123,104.573769,58.125219,57.886523
tri3_texfunc_rgb_uv_constant,tri3,texfunc_rgb,constant,4050.000000,1935.000000,1600000.000000,786712.000000,11.698470,14.686418,0.000261,26.406570,26.641180,0.298428,83.580946,51.811463,51.378161
