Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.017221,0.086266,0.000070,0.116845,0.113367,0.004265,0.952349,0.721362,0.691163
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.022565,0.118336,0.000050,0.132716,0.133847,0.005627,1.267933,0.803522,0.799906
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.037762,0.108878,0.000070,0.130893,0.124659,0.009305,1.199175,0.795364,0.747660
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.016071,0.087619,0.000040,0.062452,0.062149,0.004016,0.960304,0.384453,0.378077
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.027314,0.065816,0.000060,0.061506,0.065696,0.006867,0.718720,0.378609,0.399360
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.026622,0.107315,0.000081,0.140689,0.141261,0.006639,1.162959,0.845387,0.852444
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.086595,0.080304,0.000080,0.176240,0.190194,0.002556,0.428670,0.329297,0.352400
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.137845,0.177000,0.000070,0.462365,0.465292,0.004087,0.944563,0.856072,0.854576
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.154045,0.084593,0.000131,0.173302,0.170286,0.004586,0.450849,0.334309,0.322074
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.099351,0.066256,0.000111,0.111124,0.105814,0.002938,0.355232,0.212966,0.201181
