Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.433580,12.882298,0.003847,17.319725,17.476647,1.015359,134.226938,100.297055,99.642638
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.068941,12.251106,0.000762,16.272113,16.393248,1.014671,132.261235,99.436654,98.829812
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.021329,12.180090,0.000531,16.178114,16.268989,1.013783,132.275154,99.389123,98.819118
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.076825,12.284390,0.000962,16.285641,16.392806,1.015489,132.409611,99.467433,98.913436
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.009206,12.714936,0.000611,16.717850,16.808394,1.015665,132.188427,99.386648,98.822420
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.018634,12.326582,0.000691,16.315727,16.406683,1.015683,132.208241,99.378049,98.828719
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.847292,17.560618,0.000561,29.408321,29.518912,0.348516,92.814472,55.382418,55.195533
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.803016,17.556240,0.000591,29.215100,29.318237,0.348198,93.131342,55.398016,55.198797
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.848374,17.466507,0.000631,29.211853,29.321333,0.347960,92.882657,55.285706,55.084895
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.841781,17.391022,0.000601,29.107652,29.231610,0.348710,92.947207,55.319260,55.117653
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.809017,17.412364,0.000662,29.094989,29.199829,0.348861,93.113701,55.393545,55.177359
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.946081,17.390441,0.000541,29.245368,29.355308,0.348102,93.174708,55.431172,55.228787
tri3_tex8_grey_linear_direct_zoom,tri3,tex8_grey,linear,4050.000000,972.000000,1600000.000000,1600000.000000,4.115961,25.419383,0.000531,29.473526,29.697655,1.011961,63.391018,54.704683,54.309435
tri3_tex8_grey_cubic_catmull_rom_lut_lerp_zoom,tri3,tex8_grey,cubic_catmull_rom,4050.000000,972.000000,1600000.000000,1600000.000000,4.104438,42.127103,0.000611,46.165053,46.381760,1.016344,38.225309,34.854595,34.698894
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp_zoom,tri3,tex8_grey,cubic_mitchell_netravali,4050.000000,972.000000,1600000.000000,1600000.000000,4.144435,42.117655,0.000701,46.131850,46.349147,1.009025,38.314140,34.918957,34.764839
tri3_tex8_grey_lanczos3_lut_lerp_zoom,tri3,tex8_grey,lanczos3,4050.000000,972.000000,1600000.000000,1600000.000000,4.237463,53.921011,0.000601,58.158715,58.367787,1.014228,29.977597,27.872113,27.773959
tri3_tex8_grey_cubic_bspline_lut_lerp_zoom,tri3,tex8_grey,cubic_bspline,4050.000000,972.000000,1600000.000000,1600000.000000,4.097565,41.814472,0.000581,45.852373,46.059862,1.013610,38.602400,35.161470,34.998172
tri3_tex8_grey_quintic_bspline_lut_lerp_zoom,tri3,tex8_grey,quintic_bspline,4050.000000,972.000000,1600000.000000,1600000.000000,4.098747,53.817212,0.000601,57.866234,58.077659,1.014258,29.964987,27.862533,27.756113
tri3_tex8_rgb_linear_direct_zoom,tri3,tex8_rgb,linear,4050.000000,972.000000,1600000.000000,1600000.000000,12.670741,34.484623,0.000641,46.511027,46.772238,0.348696,47.281638,35.021344,34.859633
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp_zoom,tri3,tex8_rgb,cubic_catmull_rom,4050.000000,972.000000,1600000.000000,1600000.000000,11.760253,59.027332,0.001122,70.664788,70.885924,0.360829,27.346325,22.905609,22.833499
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp_zoom,tri3,tex8_rgb,cubic_mitchell_netravali,4050.000000,972.000000,1600000.000000,1600000.000000,11.834196,57.669455,0.000591,69.467391,69.687062,0.355264,28.189463,23.353943,23.277014
tri3_tex8_rgb_lanczos3_lut_lerp_zoom,tri3,tex8_rgb,lanczos3,4050.000000,972.000000,1600000.000000,1600000.000000,11.815058,84.985016,0.000561,96.641220,96.855161,0.352236,18.952953,16.665220,16.626584
