Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.022628,3.967241,0.000370,7.990239,8.099508,1.006805,403.302950,200.244323,197.542863
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.016314,4.099063,0.000160,8.115537,8.219729,1.008387,390.333108,197.152696,194.653619
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,3.986639,4.123951,0.000371,8.110961,8.219077,1.015893,387.977452,197.263925,194.669061
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.036304,4.037144,0.000361,8.073809,8.187447,1.003393,396.319775,198.171644,195.421112
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.046924,4.334304,0.000481,8.381709,8.485038,1.000760,369.148080,190.891857,188.567217
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.032176,4.038988,0.000661,8.071825,8.196023,1.004420,396.138835,198.220353,195.216631
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.454434,5.555638,0.000561,17.010633,17.140613,0.353575,287.995726,94.058816,93.345553
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.928383,5.779688,0.000531,17.708602,17.834514,0.339526,276.831552,90.351570,89.713687
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.488289,5.846155,0.000772,17.335216,17.461238,0.352533,273.684157,92.297667,91.631533
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.842870,5.505832,0.000351,17.349053,17.483390,0.341978,290.600948,92.224054,91.515433
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.563875,5.380853,0.000400,16.945128,17.067914,0.350229,297.350625,94.422420,93.743149
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,12.138406,5.795919,0.000631,17.934956,18.061199,0.333652,276.056308,89.211259,88.587696
tri3_tex8_grey_linear_direct_zoom,tri3,tex8_grey,linear,4050.000000,972.000000,1600000.000000,1600000.000000,4.044208,7.524235,0.000391,11.568834,11.790700,1.001432,212.646203,138.302615,135.700170
tri3_tex8_grey_cubic_catmull_rom_lut_lerp_zoom,tri3,tex8_grey,cubic_catmull_rom,4050.000000,972.000000,1600000.000000,1600000.000000,4.059538,11.880291,0.000290,15.940119,16.162617,0.997650,134.676836,100.375662,98.993870
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp_zoom,tri3,tex8_grey,cubic_mitchell_netravali,4050.000000,972.000000,1600000.000000,1600000.000000,3.992179,12.143797,0.000280,16.136256,16.358723,1.014484,131.754508,99.155591,97.807145
tri3_tex8_grey_lanczos3_lut_lerp_zoom,tri3,tex8_grey,lanczos3,4050.000000,972.000000,1600000.000000,1600000.000000,4.475316,15.285925,0.000331,19.761572,20.059873,0.904964,104.671454,80.965219,79.761223
tri3_tex8_grey_cubic_bspline_lut_lerp_zoom,tri3,tex8_grey,cubic_bspline,4050.000000,972.000000,1600000.000000,1600000.000000,4.041323,12.158304,0.000390,16.200017,16.421553,1.002147,131.597302,98.765328,97.432929
tri3_tex8_grey_quintic_bspline_lut_lerp_zoom,tri3,tex8_grey,quintic_bspline,4050.000000,972.000000,1600000.000000,1600000.000000,4.023789,14.914132,0.000411,18.938332,19.192580,1.006514,107.280799,84.484737,83.365551
tri3_tex8_rgb_linear_direct_zoom,tri3,tex8_rgb,linear,4050.000000,972.000000,1600000.000000,1600000.000000,11.973841,10.207181,0.000501,22.181523,22.420562,0.338237,156.752388,72.132107,71.363064
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp_zoom,tri3,tex8_rgb,cubic_catmull_rom,4050.000000,972.000000,1600000.000000,1600000.000000,11.564005,16.411033,0.000371,27.975409,28.211651,0.350225,97.495386,57.193087,56.714157
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp_zoom,tri3,tex8_rgb,cubic_mitchell_netravali,4050.000000,972.000000,1600000.000000,1600000.000000,12.143416,16.549919,0.000621,28.693956,28.929399,0.333514,96.677210,55.760872,55.307060
tri3_tex8_rgb_lanczos3_lut_lerp_zoom,tri3,tex8_rgb,lanczos3,4050.000000,972.000000,1600000.000000,1600000.000000,11.955886,23.365044,0.000370,35.321300,35.557283,0.338745,68.478365,45.298446,44.997814
tri3_tex8_rgb_cubic_bspline_lut_lerp_zoom,tri3,tex8_rgb,cubic_bspline,4050.000000,972.000000,1600000.000000,1600000.000000,11.660339,16.232370,0.000401,27.893110,28.130425,0.347331,98.568478,57.361836,56.877918
tri3_tex8_rgb_quintic_bspline_lut_lerp_zoom,tri3,tex8_rgb,quintic_bspline,4050.000000,972.000000,1600000.000000,1600000.000000,11.749971,23.081860,0.000571,34.832402,35.066652,0.344682,69.318504,45.934242,45.627396
tri3_texfunc_grey_param_constant_zoom,tri3,texfunc_grey,constant,4050.000000,972.000000,1600000.000000,1600000.000000,4.005894,4.336319,0.000360,8.342573,8.448688,1.011010,368.976544,191.787354,189.378517
tri3_texfunc_grey_uv_constant_zoom,tri3,texfunc_grey,constant,4050.000000,972.000000,1600000.000000,1600000.000000,4.163387,4.930619,0.000230,9.094236,9.327864,0.972766,324.502867,175.935615,171.529087
tri3_texfunc_grey_param_sinusoidal_zoom,tri3,texfunc_grey,sinusoidal,4050.000000,972.000000,1600000.000000,1600000.000000,3.998580,10.150483,0.000551,14.149614,14.260879,1.012860,157.627967,113.077290,112.195048
tri3_texfunc_grey_uv_sinusoidal_zoom,tri3,texfunc_grey,sinusoidal,4050.000000,972.000000,1600000.000000,1600000.000000,4.118912,9.741559,0.000181,13.860652,14.085552,0.983269,164.244758,115.434685,113.591572
tri3_texfunc_rgb_param_constant_zoom,tri3,texfunc_rgb,constant,4050.000000,972.000000,1600000.000000,1600000.000000,11.607939,6.947027,0.000361,18.555327,18.673523,0.348899,230.314349,86.228607,85.682814
tri3_texfunc_rgb_uv_constant_zoom,tri3,texfunc_rgb,constant,4050.000000,972.000000,1600000.000000,1600000.000000,11.644108,7.027081,0.000421,18.671610,19.011061,0.347815,227.690559,85.691593,84.161531
tri3_texfunc_rgb_param_sinusoidal_zoom,tri3,texfunc_rgb,sinusoidal,4050.000000,972.000000,1600000.000000,1600000.000000,13.225683,19.024557,0.000320,32.250560,32.371091,0.306222,84.101827,49.611542,49.426817
tri3_texfunc_rgb_uv_sinusoidal_zoom,tri3,texfunc_rgb,sinusoidal,4050.000000,972.000000,1600000.000000,1600000.000000,11.645451,15.748612,0.000350,27.394413,27.631168,0.347775,101.596255,58.406070,57.905623
tri6_nodal_grey_zoom,tri6,nodal_grey,nodal,6075.000000,1524.000000,1600000.000000,2401562.000000,4.792314,23.847679,0.000360,28.640353,28.845928,1.267655,67.092483,55.865233,55.467101
tri6_nodal_grey_zoom,tri6,nodal_grey,nodal,6075.000000,1524.000000,1600000.000000,2401562.000000,4.726097,23.470596,0.000360,28.197053,28.402467,1.285416,68.170404,56.743519,56.333135
tri6_nodal_grey_zoom,tri6,nodal_grey,nodal,6075.000000,1524.000000,1600000.000000,2401562.000000,4.753870,23.458112,0.000471,28.212453,28.424580,1.277906,68.206683,56.712545,56.289310
tri6_nodal_grey_zoom,tri6,nodal_grey,nodal,6075.000000,1524.000000,1600000.000000,2401562.000000,4.624763,23.750554,0.000441,28.375758,28.575319,1.313581,67.366850,56.386159,55.992376
tri6_nodal_grey_zoom,tri6,nodal_grey,nodal,6075.000000,1524.000000,1600000.000000,2401562.000000,4.741016,23.584625,0.000480,28.326121,28.525183,1.281371,67.840807,56.484967,56.090788
tri6_nodal_grey_zoom,tri6,nodal_grey,nodal,6075.000000,1524.000000,1600000.000000,2401562.000000,4.750143,23.881424,0.000481,28.632048,28.936983,1.278909,66.997680,55.881437,55.292565
tri6_nodal_rgb_zoom,tri6,nodal_rgb,nodal,6075.000000,1524.000000,1600000.000000,2401562.000000,12.448150,25.656599,0.000341,38.105090,38.335683,0.488024,62.362124,41.989141,41.736572
tri6_nodal_rgb_zoom,tri6,nodal_rgb,nodal,6075.000000,1524.000000,1600000.000000,2401562.000000,12.451587,25.336747,0.000431,37.788765,38.006251,0.487890,63.149385,42.340627,42.098338
