Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.446759,1.202267,16.241299,0.722268,0.866151,0.444772,1.216898,0.727523,0.873719
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.241446,2.465185,25.714286,1.248665,1.240098,0.240864,2.410571,1.264454,1.255669
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.589731,1.170204,26.246719,0.940951,1.068367,0.592978,1.156669,0.932180,1.057074
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.241322,1.273790,16.136364,0.631976,0.583555,0.241905,1.258518,0.635996,0.580170
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.534724,1.587926,15.521064,0.700299,0.725637,0.537598,1.613547,0.705238,0.730941
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.506242,1.412173,25.813953,0.590598,0.631782,0.508818,1.432401,0.594106,0.627815
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,1.053407,2.846695,15.873016,1.677637,1.608801,1.064621,2.773718,1.706261,1.635107
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.863681,2.902596,17.902813,1.141820,1.171126,0.871205,2.989365,1.155008,1.185004
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.724312,1.783822,13.385827,0.805814,0.833161,0.719103,1.816220,0.808016,0.840161
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.513547,2.564473,16.627078,1.033215,0.973759,0.516198,2.615034,1.022649,0.964368
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.902919,2.511221,15.345269,0.745498,0.799775,0.894839,2.544881,0.751098,0.806223
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.711356,2.010700,23.017903,1.207891,1.172097,0.716453,2.051959,1.222659,1.185998
tri3_tex8_grey_linear_direct_zoom,tri3,tex8_grey,linear,0.000000,0.000000,0.000000,0.000000,0.672491,1.267101,28.571429,0.868271,0.828303,0.677044,1.251246,0.860797,0.835221
tri3_tex8_grey_cubic_catmull_rom_lut_lerp_zoom,tri3,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.825233,1.152830,21.944444,1.095580,1.062701,0.832099,1.139691,1.107716,1.074116
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp_zoom,tri3,tex8_grey,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.537920,1.319350,21.563342,0.927513,0.973224,0.540829,1.335956,0.918989,0.963844
tri3_tex8_grey_lanczos3_lut_lerp_zoom,tri3,tex8_grey,lanczos3,0.000000,0.000000,0.000000,0.000000,1.629561,1.356530,33.240997,1.103465,0.875214,1.656556,1.338375,1.115777,0.882941
tri3_tex8_grey_cubic_bspline_lut_lerp_zoom,tri3,tex8_grey,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.694639,1.197831,17.031630,0.915056,0.861150,0.699498,1.183653,0.907540,0.868630
tri3_tex8_grey_quintic_bspline_lut_lerp_zoom,tri3,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,1.339402,0.905943,24.330900,0.772584,0.779685,1.357585,0.914225,0.778599,0.785812
tri3_tex8_rgb_linear_direct_zoom,tri3,tex8_rgb,linear,0.000000,0.000000,0.000000,0.000000,0.464071,1.331159,14.553015,0.865314,0.894306,0.466234,1.349118,0.863726,0.902376
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp_zoom,tri3,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.722271,2.119929,20.408163,1.368471,1.378850,0.727525,2.165843,1.387458,1.398128
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp_zoom,tri3,tex8_rgb,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.529640,1.656297,7.481297,1.388155,1.310756,0.532460,1.629311,1.407696,1.328165
tri3_tex8_rgb_lanczos3_lut_lerp_zoom,tri3,tex8_rgb,lanczos3,0.000000,0.000000,0.000000,0.000000,0.727103,1.548570,13.921114,1.141276,1.137439,0.732429,1.524955,1.154451,1.150525
tri3_tex8_rgb_cubic_bspline_lut_lerp_zoom,tri3,tex8_rgb,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.733967,0.986435,32.962963,0.831227,0.818978,0.728619,0.976799,0.824374,0.815308
tri3_tex8_rgb_quintic_bspline_lut_lerp_zoom,tri3,tex8_rgb,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.303756,0.843736,19.522777,0.863275,0.830298,0.304682,0.850915,0.870793,0.837250
tri3_texfunc_grey_param_constant_zoom,tri3,texfunc_grey,constant,0.000000,0.000000,0.000000,0.000000,1.026796,1.467943,21.832884,1.666234,1.756305,1.016360,1.446706,1.694468,1.787702
tri3_texfunc_grey_uv_constant_zoom,tri3,texfunc_grey,constant,0.000000,0.000000,0.000000,0.000000,0.343490,3.545075,26.763990,1.960300,1.891594,0.342314,3.675370,1.999496,1.900022
tri3_texfunc_grey_param_sinusoidal_zoom,tri3,texfunc_grey,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.386829,1.063983,11.876485,0.689820,0.726029,0.385339,1.075426,0.694612,0.731338
tri3_texfunc_grey_uv_sinusoidal_zoom,tri3,texfunc_grey,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.583139,1.315580,17.378917,0.945741,0.969864,0.586560,1.333118,0.954771,0.979363
tri3_texfunc_rgb_param_constant_zoom,tri3,texfunc_rgb,constant,0.000000,0.000000,0.000000,0.000000,0.249773,2.814361,10.498688,1.048719,1.032141,0.250399,2.805554,1.059834,1.042905
tri3_texfunc_rgb_uv_constant_zoom,tri3,texfunc_rgb,constant,0.000000,0.000000,0.000000,0.000000,0.274923,2.393004,14.598540,1.162702,1.216765,0.275681,2.337078,1.176380,1.204435
tri3_texfunc_rgb_param_sinusoidal_zoom,tri3,texfunc_rgb,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.444163,1.421222,21.231423,0.985623,1.007376,0.446145,1.416064,0.976003,0.997329
tri3_texfunc_rgb_uv_sinusoidal_zoom,tri3,texfunc_rgb,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.656989,1.203330,10.761155,1.053566,1.038679,0.661334,1.217987,1.064784,1.049581
tri6_nodal_grey_zoom,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.291465,0.510716,21.897810,0.411564,0.409563,0.292317,0.508121,0.413265,0.411247
tri6_nodal_grey_zoom,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.412699,0.762643,8.183633,0.636719,0.654719,0.414410,0.768504,0.632691,0.650461
tri6_nodal_grey_zoom,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.479477,0.402350,23.354565,0.414463,0.362340,0.477189,0.400738,0.416188,0.361031
tri6_nodal_grey_zoom,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.796070,1.312325,11.600928,1.353560,1.214542,0.789783,1.308979,1.335484,1.199968
tri6_nodal_grey_zoom,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.431860,1.151173,17.031630,0.665812,0.662689,0.433733,1.164579,0.670274,0.667110
tri6_nodal_grey_zoom,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.360021,0.845879,23.017903,0.600869,0.565810,0.361321,0.838784,0.597280,0.562627
tri6_nodal_rgb_zoom,tri6,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.947829,1.003043,6.237006,0.670698,0.684125,0.938929,1.013206,0.675227,0.688838
tri6_nodal_rgb_zoom,tri6,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.802311,1.147674,10.615711,1.102337,1.097162,0.795926,1.160999,1.114623,1.109333
tri6_nodal_rgb_zoom,tri6,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.576616,1.256352,11.333333,0.917627,0.976399,0.573310,1.272337,0.926125,0.986026
tri6_nodal_rgb_zoom,tri6,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.490787,0.988027,21.691974,0.843185,0.832224,0.493208,0.997886,0.850355,0.839208
tri6_nodal_rgb_zoom,tri6,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.571871,0.955771,12.175649,0.516062,0.466268,0.575161,0.948146,0.518739,0.468452
tri6_nodal_rgb_zoom,tri6,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.470217,0.912351,13.303769,0.835446,0.799612,0.472439,0.920751,0.842484,0.806058
tri6_tex8_grey_linear_direct_zoom,tri6,tex8_grey,linear,0.000000,0.000000,0.000000,0.000000,0.395962,0.730173,22.443890,0.556040,0.591273,0.397536,0.724880,0.552965,0.587797
tri6_tex8_grey_cubic_catmull_rom_lut_lerp_zoom,tri6,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.501343,1.051705,17.902813,1.275302,1.260313,0.503869,1.062883,1.291776,1.276399
tri6_tex8_grey_cubic_mitchell_netravali_lut_lerp_zoom,tri6,tex8_grey,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.692767,1.010761,23.017903,0.573358,0.591430,0.697600,1.021082,0.576664,0.587953
tri6_tex8_grey_lanczos3_lut_lerp_zoom,tri6,tex8_grey,lanczos3,0.000000,0.000000,0.000000,0.000000,0.907141,0.890733,25.401929,0.910534,0.904757,0.915445,0.898738,0.902318,0.913018
tri6_tex8_grey_cubic_bspline_lut_lerp_zoom,tri6,tex8_grey,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.570767,0.905455,16.473318,0.753381,0.751566,0.574043,0.913728,0.759100,0.757257
tri6_tex8_grey_quintic_bspline_lut_lerp_zoom,tri6,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.784055,0.839198,11.136364,0.843560,0.814316,0.790251,0.846300,0.850737,0.821002
tri6_tex8_rgb_linear_direct_zoom,tri6,tex8_rgb,linear,0.000000,0.000000,0.000000,0.000000,0.506017,1.407305,24.169184,1.204897,1.219314,0.503469,1.405630,1.190552,1.204626
tri6_tex8_rgb_cubic_catmull_rom_lut_lerp_zoom,tri6,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.332600,1.024409,6.430868,0.770442,0.768465,0.333710,1.027945,0.776423,0.774416
tri6_tex8_rgb_cubic_mitchell_netravali_lut_lerp_zoom,tri6,tex8_rgb,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.438960,0.749304,14.662757,0.509575,0.468496,0.440896,0.754961,0.512185,0.470701
tri6_tex8_rgb_lanczos3_lut_lerp_zoom,tri6,tex8_rgb,lanczos3,0.000000,0.000000,0.000000,0.000000,0.423663,0.919725,28.400000,1.281935,1.353369,0.425466,0.920064,1.298582,1.371936
tri6_tex8_rgb_cubic_bspline_lut_lerp_zoom,tri6,tex8_rgb,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.413482,0.870256,17.888563,0.632916,0.624964,0.415199,0.862748,0.636948,0.628894
tri6_tex8_rgb_quintic_bspline_lut_lerp_zoom,tri6,tex8_rgb,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.559638,0.482639,19.292605,0.462619,0.462127,0.562787,0.480321,0.460488,0.464273
tri6_texfunc_grey_param_constant_zoom,tri6,texfunc_grey,constant,0.000000,0.000000,0.000000,0.000000,0.515599,0.816477,21.162791,0.633535,0.602045,0.518271,0.809865,0.637575,0.598442
tri6_texfunc_grey_uv_constant_zoom,tri6,texfunc_grey,constant,0.000000,0.000000,0.000000,0.000000,0.639964,2.371630,22.443890,2.085274,2.070459,0.635894,2.423839,2.129684,2.114233
tri6_texfunc_grey_param_sinusoidal_zoom,tri6,texfunc_grey,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.738203,0.827035,20.997375,0.434710,0.466272,0.743693,0.820251,0.436608,0.468456
tri6_texfunc_grey_uv_sinusoidal_zoom,tri6,texfunc_grey,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.972334,1.229453,13.043478,1.283648,1.304704,0.981881,1.244756,1.267380,1.321952
tri6_texfunc_rgb_param_constant_zoom,tri6,texfunc_rgb,constant,0.000000,0.000000,0.000000,0.000000,0.712021,1.691509,19.464720,1.394012,1.372107,0.717127,1.663372,1.413720,1.391196
tri6_texfunc_rgb_uv_constant_zoom,tri6,texfunc_rgb,constant,0.000000,0.000000,0.000000,0.000000,0.822105,1.111267,10.386965,0.981520,1.141735,0.828920,1.123755,0.971980,1.154922
tri6_texfunc_rgb_param_sinusoidal_zoom,tri6,texfunc_rgb,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.324427,1.097914,8.316008,1.577654,1.576283,0.325483,1.110102,1.602943,1.601528
tri6_texfunc_rgb_uv_sinusoidal_zoom,tri6,texfunc_rgb,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.477427,1.138164,13.894325,0.993348,1.182664,0.479717,1.151268,1.003314,1.174772
quad4ibi_nodal_grey_zoom,quad4ibi,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.769161,1.680940,24.258760,1.719148,1.965816,0.775123,1.653152,1.745576,1.927917
quad4ibi_nodal_grey_zoom,quad4ibi,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,1.092733,2.074172,22.792023,1.706658,1.694535,1.104805,2.118105,1.721465,1.723745
quad4ibi_nodal_grey_zoom,quad4ibi,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,1.224921,1.337498,27.700831,1.401984,1.374143,1.240112,1.355630,1.421920,1.393288
quad4ibi_nodal_grey_zoom,quad4ibi,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.950747,1.398510,16.857143,1.059415,0.951052,0.941793,1.405648,1.048309,0.960184
quad4ibi_nodal_grey_zoom,quad4ibi,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.840692,0.836277,27.977839,0.486162,0.493434,0.833683,0.829341,0.488537,0.495881
quad4ibi_nodal_grey_zoom,quad4ibi,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,1.503581,1.636060,16.442049,1.771836,1.943014,1.526534,1.609723,1.740989,1.935438
quad4ibi_nodal_rgb_zoom,quad4ibi,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.545983,1.756662,18.140590,1.487938,1.609695,0.548980,1.788072,1.510412,1.584194
quad4ibi_nodal_rgb_zoom,quad4ibi,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.533438,1.525724,20.408163,1.075933,1.082571,0.536299,1.549363,1.064480,1.094419
