Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.023648,4.092601,0.000431,8.116652,8.225701,1.006549,390.949423,197.125613,194.512297
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.021604,4.056572,0.000350,8.065652,8.175564,1.007061,394.421694,198.372060,195.705153
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.026414,4.090056,0.000381,8.113596,8.224608,1.005858,391.192688,197.199861,194.538147
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.014561,4.034259,0.000440,8.044132,8.151929,1.008828,396.603193,198.902753,196.272563
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.037786,3.998991,0.000451,8.033281,8.146358,1.003025,400.100925,199.171422,196.406787
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.031665,4.046883,0.000430,8.071825,8.184632,1.004548,395.366014,198.220353,195.488325
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.653146,5.679956,0.000441,17.346367,17.474443,0.347546,281.692323,92.238334,91.562289
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.652685,5.779688,0.000391,17.383912,17.514260,0.347559,276.831552,92.039122,91.354131
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.658236,5.775129,0.000381,17.381064,17.515342,0.347394,277.050088,92.054203,91.348488
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.704093,5.690447,0.000421,17.349053,17.483390,0.346033,281.172990,92.224054,91.515433
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.630282,5.810758,0.000391,17.440548,17.573684,0.348229,275.351340,91.740237,91.045224
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.653798,5.709453,0.000391,17.361006,17.490364,0.347526,280.237003,92.160558,91.478942
tri3_tex8_grey_linear_direct_zoom,tri3,tex8_grey,linear,4050.000000,972.000000,1600000.000000,1600000.000000,4.032916,7.610680,0.000350,11.632767,11.853029,1.004236,210.230886,137.542512,134.986593
tri3_tex8_grey_cubic_catmull_rom_lut_lerp_zoom,tri3,tex8_grey,cubic_catmull_rom,4050.000000,972.000000,1600000.000000,1600000.000000,4.054008,12.031000,0.000360,16.144142,16.366127,0.999011,132.989776,99.107156,97.762898
