Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,3.981419,3.955529,0.000150,7.953619,8.069611,0.629412,341.322193,149.318250,147.569063
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,3.978783,3.876617,0.000160,7.892852,8.002863,0.959191,267.495278,160.080633,157.105226
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,3.966570,3.900142,0.000161,7.889767,8.001560,0.948527,355.471427,185.743361,182.967425
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,3.984084,3.917966,0.000180,7.933349,8.042770,0.747754,324.780114,154.692037,153.051244
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.007988,3.868722,0.000221,7.902050,8.014876,0.966946,269.149390,159.281640,157.450483
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,3.990155,3.941311,0.000200,7.961514,8.074670,0.949547,359.782440,183.639447,181.025250
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.393447,5.329704,0.000321,16.733001,16.852661,0.286242,265.368704,79.749912,79.260633
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.357189,5.480925,0.000210,17.016557,17.141394,0.273878,190.856700,75.622944,75.045422
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.488289,5.392345,0.000291,16.946131,17.072232,0.332057,259.943742,87.255619,86.629861
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.431510,5.475113,0.000271,17.134100,17.258689,0.280274,266.745045,79.304441,78.790615
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.428334,5.380853,0.000251,16.945128,17.067914,0.332616,243.954056,86.557126,85.572754
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.237227,5.360904,0.000181,16.822574,16.952552,0.317988,263.421620,87.282189,86.621682
tri3_tex8_grey_linear_direct_zoom,tri3,tex8_grey,linear,4050.000000,972.000000,1600000.000000,1600000.000000,3.964536,7.428611,0.000130,11.446788,11.668695,0.678299,195.595842,116.970513,115.085965
tri3_tex8_grey_cubic_catmull_rom_lut_lerp_zoom,tri3,tex8_grey,cubic_catmull_rom,4050.000000,972.000000,1600000.000000,1600000.000000,3.972971,11.530641,0.000070,15.516707,15.737801,0.781975,121.788281,90.789218,89.314343
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp_zoom,tri3,tex8_grey,cubic_mitchell_netravali,4050.000000,972.000000,1600000.000000,1600000.000000,3.988301,11.555057,0.000150,15.595519,15.814990,0.814024,106.626241,81.939470,80.976803
tri3_tex8_grey_lanczos3_lut_lerp_zoom,tri3,tex8_grey,lanczos3,4050.000000,972.000000,1600000.000000,1600000.000000,3.898990,14.513583,0.000151,18.532121,18.754589,0.870043,96.500250,75.345601,74.255736
tri3_tex8_grey_cubic_bspline_lut_lerp_zoom,tri3,tex8_grey,cubic_bspline,4050.000000,972.000000,1600000.000000,1600000.000000,3.953875,11.464974,0.000151,15.544441,15.764383,0.905384,126.211233,94.859015,93.113744
tri3_tex8_grey_quintic_bspline_lut_lerp_zoom,tri3,tex8_grey,quintic_bspline,4050.000000,972.000000,1600000.000000,1600000.000000,3.943224,14.481692,0.000151,18.476054,18.711596,0.818592,86.508600,68.249448,66.921926
tri3_tex8_rgb_linear_direct_zoom,tri3,tex8_rgb,linear,4050.000000,972.000000,1600000.000000,1600000.000000,11.374671,9.564218,0.000341,21.123483,21.362362,0.334728,131.742228,67.608995,66.731488
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp_zoom,tri3,tex8_rgb,cubic_catmull_rom,4050.000000,972.000000,1600000.000000,1600000.000000,11.564005,15.936763,0.000190,27.532388,27.761167,0.331442,84.480936,52.308471,51.856071
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp_zoom,tri3,tex8_rgb,cubic_mitchell_netravali,4050.000000,972.000000,1600000.000000,1600000.000000,11.505242,15.649843,0.000311,27.214489,27.447787,0.274718,91.739705,50.421945,49.973511
tri3_tex8_rgb_lanczos3_lut_lerp_zoom,tri3,tex8_rgb,lanczos3,4050.000000,972.000000,1600000.000000,1600000.000000,11.513127,22.754332,0.000200,34.318285,34.553237,0.251989,63.027064,40.201377,39.930351
tri3_tex8_rgb_cubic_bspline_lut_lerp_zoom,tri3,tex8_rgb,cubic_bspline,4050.000000,972.000000,1600000.000000,1600000.000000,11.593772,15.600849,0.000150,27.228105,27.476220,0.323258,94.684938,54.522602,54.063670
tri3_tex8_rgb_quintic_bspline_lut_lerp_zoom,tri3,tex8_rgb,quintic_bspline,4050.000000,972.000000,1600000.000000,1600000.000000,11.715245,22.699937,0.000310,34.427966,34.665091,0.314265,62.023250,41.979482,41.626875
tri3_texfunc_grey_param_constant_zoom,tri3,texfunc_grey,constant,4050.000000,972.000000,1600000.000000,1600000.000000,3.936812,4.211759,0.000161,8.289653,8.407168,0.860574,328.861908,179.124295,176.961885
tri3_texfunc_grey_uv_constant_zoom,tri3,texfunc_grey,constant,4050.000000,972.000000,1600000.000000,1600000.000000,3.939689,4.349615,0.000150,8.360759,8.593997,0.886609,323.309199,175.499386,170.537731
