Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.037041,3.986333,0.000391,8.019716,8.132723,1.003210,401.371395,199.508312,196.736091
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.035042,3.989399,0.000381,8.025542,8.143308,1.003707,401.062969,199.363482,196.480366
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.036008,3.986057,0.000401,8.022076,8.131125,1.003467,401.399180,199.449619,196.774757
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.035953,4.016511,0.000380,8.054062,8.170215,1.003480,398.357122,198.657540,195.833310
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.032436,4.029791,0.000386,8.064437,8.174788,1.004356,397.042968,198.401959,195.723739
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.030828,4.019481,0.000390,8.034846,8.153076,1.004756,398.061408,199.132628,196.244964
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.706965,5.741701,0.000371,17.481908,17.608582,0.345948,278.663094,91.523192,90.864784
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.676181,5.711057,0.000371,17.361333,17.492344,0.346860,280.158322,92.158823,91.468590
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.678330,5.754013,0.000380,17.447618,17.577928,0.346796,278.066794,91.703104,91.023256
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.694365,5.734256,0.000361,17.482545,17.610245,0.346321,279.024960,91.519864,90.856216
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.703307,5.689600,0.000366,17.426037,17.556993,0.346056,281.214849,91.816631,91.131781
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.680513,5.698577,0.000371,17.436206,17.561571,0.346731,280.771901,91.763085,91.108025
tri3_tex8_grey_linear_direct_zoom,tri3,tex8_grey,linear,4050.000000,972.000000,1600000.000000,1600000.000000,4.034551,7.612774,0.000366,11.630052,11.855289,1.003829,210.173085,137.574627,134.960868
tri3_tex8_grey_cubic_catmull_rom_lut_lerp_zoom,tri3,tex8_grey,cubic_catmull_rom,4050.000000,972.000000,1600000.000000,1600000.000000,4.037341,12.245713,0.000381,16.252830,16.480130,1.003136,130.658071,98.444410,97.086613
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp_zoom,tri3,tex8_grey,cubic_mitchell_netravali,4050.000000,972.000000,1600000.000000,1600000.000000,4.045657,12.208451,0.000291,16.251773,16.481268,1.001074,131.056763,98.450803,97.079914
tri3_tex8_grey_lanczos3_lut_lerp_zoom,tri3,tex8_grey,lanczos3,4050.000000,972.000000,1600000.000000,1600000.000000,4.040427,15.035971,0.000291,19.116233,19.352036,1.002369,106.411499,83.698504,82.678651
tri3_tex8_grey_cubic_bspline_lut_lerp_zoom,tri3,tex8_grey,cubic_bspline,4050.000000,972.000000,1600000.000000,1600000.000000,4.048848,12.074103,0.000371,16.118372,16.348107,1.000285,132.515071,99.265608,97.870659
tri3_tex8_grey_quintic_bspline_lut_lerp_zoom,tri3,tex8_grey,quintic_bspline,4050.000000,972.000000,1600000.000000,1600000.000000,4.054038,15.223550,0.000361,19.301635,19.530157,0.999004,105.100325,82.894534,81.924585
tri3_tex8_rgb_linear_direct_zoom,tri3,tex8_rgb,linear,4050.000000,972.000000,1600000.000000,1600000.000000,11.661762,9.968844,0.000391,21.651827,21.884758,0.347289,160.500055,73.896768,73.110243
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp_zoom,tri3,tex8_rgb,cubic_catmull_rom,4050.000000,972.000000,1600000.000000,1600000.000000,11.638237,16.510333,0.000451,28.159390,28.401195,0.347991,96.909023,56.819422,56.335660
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp_zoom,tri3,tex8_rgb,cubic_mitchell_netravali,4050.000000,972.000000,1600000.000000,1600000.000000,11.682907,16.091706,0.000331,27.716090,27.964632,0.346660,99.430110,57.728202,57.215129
tri3_tex8_rgb_lanczos3_lut_lerp_zoom,tri3,tex8_rgb,lanczos3,4050.000000,972.000000,1600000.000000,1600000.000000,11.679832,23.330643,0.000401,35.033022,35.269516,0.346752,68.579346,45.671196,45.364956
tri3_tex8_rgb_cubic_bspline_lut_lerp_zoom,tri3,tex8_rgb,cubic_bspline,4050.000000,972.000000,1600000.000000,1600000.000000,11.679215,16.060801,0.000391,27.732271,27.975888,0.346770,99.621437,57.694521,57.192109
tri3_tex8_rgb_quintic_bspline_lut_lerp_zoom,tri3,tex8_rgb,quintic_bspline,4050.000000,972.000000,1600000.000000,1600000.000000,11.698111,23.399934,0.000416,35.059858,35.316094,0.346210,68.376262,45.636238,45.305124
tri3_texfunc_grey_param_constant_zoom,tri3,texfunc_grey,constant,4050.000000,972.000000,1600000.000000,1600000.000000,4.015829,4.456333,0.000376,8.472497,8.587679,1.008509,359.040622,188.846374,186.313889
tri3_texfunc_grey_uv_constant_zoom,tri3,texfunc_grey,constant,4050.000000,972.000000,1600000.000000,1600000.000000,4.033753,4.802693,0.000351,8.846039,9.069889,1.004028,333.146579,180.871989,176.407922
tri3_texfunc_grey_param_sinusoidal_zoom,tri3,texfunc_grey,sinusoidal,4050.000000,972.000000,1600000.000000,1600000.000000,4.041904,10.456950,0.000421,14.592308,14.708797,1.002003,153.008609,109.646825,108.778445
tri3_texfunc_grey_uv_sinusoidal_zoom,tri3,texfunc_grey,sinusoidal,4050.000000,972.000000,1600000.000000,1600000.000000,4.061086,9.855095,0.000360,13.919012,14.155866,0.997270,162.352749,114.950764,113.027349
tri3_texfunc_rgb_param_constant_zoom,tri3,texfunc_rgb,constant,4050.000000,972.000000,1600000.000000,1600000.000000,11.672291,7.169088,0.000376,18.854956,18.982340,0.346976,223.180460,84.858326,84.288873
tri3_texfunc_rgb_uv_constant_zoom,tri3,texfunc_rgb,constant,4050.000000,972.000000,1600000.000000,1600000.000000,11.692926,7.228953,0.000391,18.955739,19.195468,0.346363,221.332416,84.407158,83.353008
tri3_texfunc_rgb_param_sinusoidal_zoom,tri3,texfunc_rgb,sinusoidal,4050.000000,972.000000,1600000.000000,1600000.000000,11.662839,18.084332,0.000381,29.786691,29.907217,0.347257,88.474447,53.715266,53.498793
tri3_texfunc_rgb_uv_sinusoidal_zoom,tri3,texfunc_rgb,sinusoidal,4050.000000,972.000000,1600000.000000,1600000.000000,11.686554,16.008760,0.000361,27.630232,27.867779,0.346552,99.945302,57.907584,57.413976
